Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority
ai tutoring math,5.7,15,2,13.33%,0.00%,0,68.3,Long-term Target,Medium
musk online school,6.8,18,2,11.11%,0.00%,0,68.3,Long-term Target,Medium
de synthesize,8.8,25,0,0.00%,3.00%,0,68.3,Long-term Target,Medium
maths tutor for 10 year old,5.6,14,0,0.00%,9.00%,1,68.3,Long-term Target,Medium
math tutor summer,10.3,32,0,0.00%,2.00%,0,68.3,Long-term Target,Medium
spacex school for kids,5.0,13,1,7.69%,1.31%,0,68.3,Long-term Target,Medium
fun games to play at school video games,7.3,19,1,5.26%,0.00%,0,68.3,Long-term Target,Medium
math tutoring near me,43.6,7377,0,0.00%,2.00%,147,68.3,Long-term Target,Medium
how many educational video games are there,3.5,10,1,10.00%,8.00%,0,68.3,Long-term Target,Medium
video games for learning,5.1,122,1,0.82%,8.18%,9,68.2,Top 3 Push,Medium
math tutoring ai,7.2,92,4,4.35%,0.00%,0,68.2,Long-term Target,Medium
elementary school computer lab games 2010s,1.0,24,0,0.00%,31.00%,7,68.2,CTR Optimization,Medium
math for homeschool tutors,8.4,22,0,0.00%,3.00%,0,68.2,Long-term Target,Medium
educational videogames,5.2,144,1,0.69%,8.31%,11,68.2,Top 3 Push,Medium
after school projects for kids,6.9,17,1,5.88%,0.12%,0,68.2,Long-term Target,Medium
after school program activities,27.0,1440,3,0.21%,1.79%,25,68.1,First Page Push,Medium
fun activities for after school,7.8,19,1,5.26%,0.00%,0,68.1,Long-term Target,Medium
learning video games for toddlers,9.9,27,0,0.00%,2.50%,0,68.1,Long-term Target,Medium
elon musk education program,7.3,87,4,4.60%,0.00%,0,68.1,Long-term Target,Medium
maths english tutor,12.8,44,0,0.00%,2.00%,0,68.1,Long-term Target,Medium
elon musk mathematics,7.4,84,2,2.38%,1.62%,1,68.0,Long-term Target,Medium
after school hobbies,7.7,80,0,0.00%,4.00%,3,68.0,Long-term Target,Medium
educational video games for preschoolers,6.1,14,1,7.14%,0.00%,0,68.0,Long-term Target,Medium
math tutor cost,31.5,1486,0,0.00%,2.00%,29,68.0,Long-term Target,Medium
math tutor online for kids,10.1,27,0,0.00%,2.00%,0,68.0,Long-term Target,Medium
kindergarten math tutoring,14.0,237,0,0.00%,2.00%,4,67.9,Top 10 Push,Medium
best school video games,9.5,24,0,0.00%,2.50%,0,67.9,Long-term Target,Medium
science ai tutor,7.8,18,1,5.56%,0.00%,0,67.9,Long-term Target,Medium
fun after school activities,11.2,211,1,0.47%,1.53%,3,67.9,Top 10 Push,Medium
learning video games,6.3,376,5,1.33%,4.67%,17,67.8,Top 3 Push,Medium
fun video games for school,6.0,57,1,1.75%,4.25%,2,67.8,Long-term Target,Medium
aftercare activities for kids,9.2,21,1,4.76%,0.00%,0,67.7,Long-term Target,Medium
learning video games for 5 year olds,5.8,50,0,0.00%,9.00%,4,67.7,Long-term Target,Medium
elon musk math skills,9.4,109,2,1.83%,0.67%,0,67.7,Top 3 Push,Medium
fun things to do after school,12.1,155,1,0.65%,1.35%,2,67.7,Top 10 Push,Medium
spacex academy,7.3,15,1,6.67%,0.00%,0,67.7,Long-term Target,Medium
educational games examples,9.0,94,1,1.06%,1.94%,1,67.7,Long-term Target,Medium
maths online tutoring program free,9.1,20,0,0.00%,2.50%,0,67.7,Long-term Target,Medium
elon mask school,9.7,22,1,4.55%,0.00%,0,67.7,Long-term Target,Medium
synthezis,2.3,137,5,3.65%,20.35%,27,67.6,CTR Optimization,Medium
addition tutors,9.7,22,0,0.00%,2.50%,0,67.6,Long-term Target,Medium
educational computer games for 7 year olds,7.5,15,0,0.00%,4.00%,0,67.6,Long-term Target,Medium
math foundation tutors,9.8,22,0,0.00%,2.50%,0,67.6,Long-term Target,Medium
conceptual math tutors,9.5,21,0,0.00%,2.50%,0,67.6,Long-term Target,Medium
best video games to play in school,8.7,83,0,0.00%,3.00%,2,67.6,Long-term Target,Medium
best online homeschool programs,1.0,23,0,0.00%,31.00%,7,67.6,CTR Optimization,Medium
math tutor free app,8.4,17,0,0.00%,3.00%,0,67.6,Long-term Target,Medium
mathematics education tutors,9.9,22,0,0.00%,2.50%,0,67.6,Long-term Target,Medium
maths tuition near me,43.8,3271,0,0.00%,2.00%,65,67.6,Long-term Target,Medium
example of educational games,9.7,21,0,0.00%,2.50%,0,67.6,Long-term Target,Medium
maths tutor free,10.8,25,0,0.00%,2.00%,0,67.5,Long-term Target,Medium
son math,6.9,13,1,7.69%,0.00%,0,67.5,Long-term Target,Medium
240 tutoring free trial,11.9,17,0,0.00%,2.00%,0,67.5,Long-term Target,Medium
academic video games,6.6,56,1,1.79%,4.21%,2,67.5,Long-term Target,Medium
240 tutoring,39.3,225,0,0.00%,2.00%,4,67.5,Long-term Target,Medium
ai tuter,1.0,14,0,0.00%,31.00%,4,67.5,CTR Optimization,Medium
learn video games,10.4,23,0,0.00%,2.00%,0,67.5,Long-term Target,Medium
math and coding tutor,9.6,20,0,0.00%,2.50%,0,67.5,Long-term Target,Medium
fun afterschool activities for kids,7.0,62,1,1.61%,2.39%,1,67.5,Long-term Target,Medium
after school program activities for kids,16.8,435,0,0.00%,2.00%,8,67.5,Top 10 Push,Medium
free math tutoring for kids,10.3,101,0,0.00%,2.00%,2,67.4,Long-term Target,Medium
easy after school activities,10.6,105,0,0.00%,2.00%,2,67.4,Long-term Target,Medium
fun ideas for after school programs,14.2,187,0,0.00%,2.00%,3,67.4,Top 10 Push,Medium
elon math,9.2,18,1,5.56%,0.00%,0,67.4,Long-term Target,Medium
ai math tutoring tools,9.2,18,0,0.00%,2.50%,0,67.4,Long-term Target,Medium
personalized math tutoring,7.9,69,1,1.45%,2.55%,1,67.4,Long-term Target,Medium
confidence building habits,8.1,15,0,0.00%,3.00%,0,67.4,Long-term Target,Medium
popular educational video games,7.8,14,1,7.14%,0.00%,0,67.3,Long-term Target,Medium
good program to use for summer leaening for kids,8.2,15,0,0.00%,3.00%,0,67.3,Long-term Target,Medium
fun things to do with kids after school,11.6,121,0,0.00%,2.00%,2,67.3,Top 10 Push,Medium
spacex education,6.1,52,3,5.77%,0.23%,0,67.3,Long-term Target,Medium
afterschool activities ideas,8.6,16,0,0.00%,3.00%,0,67.3,Long-term Target,Medium
999 math login,8.7,74,0,0.00%,3.00%,2,67.3,Long-term Target,Medium
education video game,10.0,20,0,0.00%,2.00%,0,67.3,Long-term Target,Medium
escuela elon musk online,8.3,15,1,6.67%,0.00%,0,67.3,Long-term Target,Medium
elon musk spacex school,8.8,16,0,0.00%,3.00%,0,67.3,Long-term Target,Medium
after-school activities for 10 year olds,10.8,104,0,0.00%,2.00%,2,67.3,Long-term Target,Medium
99 math.com,22.6,183,0,0.00%,2.00%,3,67.3,First Page Push,Medium
synergy tutoring,13.8,37,2,5.41%,0.00%,0,67.3,Long-term Target,Medium
spacex school,7.4,404,10,2.48%,1.52%,6,67.2,Top 3 Push,Medium
math and science tutor app,11.8,26,0,0.00%,2.00%,0,67.2,Long-term Target,Medium
best summer classes for kids,11.0,23,0,0.00%,2.00%,0,67.2,Long-term Target,Medium
ai tutor math,9.0,81,11,13.58%,0.00%,0,67.2,Long-term Target,Medium
ai homeschool tutor,7.8,13,0,0.00%,4.00%,0,67.2,Long-term Target,Medium
after school activities for elementary students,7.7,73,1,1.37%,2.63%,1,67.2,Long-term Target,Medium
video game for kids,13.8,743,2,0.27%,1.73%,12,67.1,Top 10 Push,Medium
synsthesis,2.8,125,4,3.20%,20.80%,26,67.1,CTR Optimization,Medium
syntheseis,2.4,137,10,7.30%,16.70%,22,67.1,CTR Optimization,Medium
math ai',9.4,79,0,0.00%,2.50%,1,67.1,Long-term Target,Medium
best video games to play in class,9.6,17,0,0.00%,2.50%,0,67.1,Long-term Target,Medium
synsis,5.9,254,1,0.39%,8.61%,21,67.1,Top 3 Push,Medium
examples of after school activities,8.0,59,0,0.00%,4.00%,2,67.1,Long-term Target,Medium
best summer programs for kids,7.6,12,0,0.00%,4.00%,0,67.1,Long-term Target,Medium
elon musk academy,10.0,82,0,0.00%,2.50%,2,67.0,Long-term Target,Medium
elon musk school online,6.0,105,15,14.29%,0.00%,0,67.0,Top 3 Push,Medium
synthese login,2.5,129,7,5.43%,18.57%,23,67.0,CTR Optimization,Medium
kids learning video games,8.7,71,2,2.82%,0.18%,0,67.0,Long-term Target,Medium
ai tutor online platform,8.2,13,0,0.00%,3.00%,0,67.0,Long-term Target,Medium
best videogames for kids,11.3,22,1,4.55%,0.00%,0,67.0,Long-term Target,Medium
famous kids video games,10.4,19,0,0.00%,2.00%,0,67.0,Long-term Target,Medium
algebra ai tutor,6.7,10,0,0.00%,6.00%,0,67.0,Long-term Target,Medium
easy tutoring.app,8.2,79,1,1.27%,1.73%,1,67.0,Long-term Target,Medium
how much is a school computer,7.8,13,0,0.00%,4.00%,0,67.0,Long-term Target,Medium
educational video games for teens,6.8,10,0,0.00%,6.00%,0,66.9,Long-term Target,Medium
activities to do after school,13.6,144,0,0.00%,2.00%,2,66.9,Top 10 Push,Medium
easy tutor app,11.3,21,0,0.00%,2.00%,0,66.9,Long-term Target,Medium
ai tutot,2.1,10,0,0.00%,24.00%,2,66.9,CTR Optimization,Medium
kids extra curricular activities,5.7,11,0,0.00%,9.00%,0,66.8,Long-term Target,Medium
math tutor for kids online,8.6,13,0,0.00%,3.00%,0,66.8,Long-term Target,Medium
999 math.com,7.4,42,0,0.00%,4.00%,1,66.8,Long-term Target,Medium
how do stories about overcoming some challenges help children,8.7,13,0,0.00%,3.00%,0,66.8,Long-term Target,Medium
fun after school activities for kids,8.8,130,1,0.77%,2.23%,2,66.8,Top 3 Push,Medium
kids after school activities,16.5,309,0,0.00%,2.00%,6,66.8,Top 10 Push,Medium
best video games for 10-12 year olds,8.8,13,0,0.00%,3.00%,0,66.8,Long-term Target,Medium
math tutor.com,11.6,21,0,0.00%,2.00%,0,66.8,Long-term Target,Medium
best math tutor app,8.3,83,2,2.41%,0.59%,0,66.8,Long-term Target,Medium
https://dashboard.synthelix.io/,7.3,10,0,0.00%,4.00%,0,66.7,Long-term Target,Medium
synthesos,2.4,113,4,3.54%,20.46%,23,66.7,CTR Optimization,Medium
interactive video games for kids,6.1,30,1,3.33%,2.67%,0,66.7,Long-term Target,Medium
maths online tutoring program,10.9,18,0,0.00%,2.00%,0,66.7,Long-term Target,Medium
easy after school activities for kids,8.1,11,0,0.00%,3.00%,0,66.7,Long-term Target,Medium
video games for kindergarteners,13.3,126,1,0.79%,1.21%,1,66.6,Top 10 Push,Medium
elon musk homeschooling,20.4,87,1,1.15%,0.85%,0,66.6,Long-term Target,Medium
games with educational value,10.0,15,0,0.00%,2.00%,0,66.6,Long-term Target,Medium
after school activities for middle schoolers,11.8,153,1,0.65%,1.35%,2,66.6,Top 10 Push,Medium
k-12 ai tutor,10.8,81,0,0.00%,2.00%,1,66.6,Long-term Target,Medium
after school activities ideas for middle schoolers,12.1,135,0,0.00%,2.00%,2,66.6,Top 10 Push,Medium
ai maths tutor free,12.7,23,0,0.00%,2.00%,0,66.6,Long-term Target,Medium
ai math learning app,10.2,15,2,13.33%,0.00%,0,66.5,Long-term Target,Medium
video games for kids 12 years old,12.5,22,1,4.55%,0.00%,0,66.5,Long-term Target,Medium
syenthesis,3.0,109,2,1.83%,22.17%,24,66.5,CTR Optimization,Medium
synethis,4.2,214,14,6.54%,6.46%,13,66.5,Top 3 Push,Medium
math learning ai,8.5,11,1,9.09%,0.00%,0,66.5,Long-term Target,Medium
algebra tutors near me,43.6,2714,0,0.00%,2.00%,54,66.5,Long-term Target,Medium
math tutor ai free,7.2,44,3,6.82%,0.00%,0,66.5,Long-term Target,Medium
summer courses for children,13.6,26,1,3.85%,0.00%,0,66.5,Long-term Target,Medium
maths ai teacher,9.5,13,0,0.00%,2.50%,0,66.5,Long-term Target,Medium
best tutoring for my child,16.6,43,0,0.00%,2.00%,0,66.5,Long-term Target,Medium
after school activities for 12 year olds,10.9,67,3,4.48%,0.00%,0,66.4,Long-term Target,Medium
best video games for kids,17.1,867,5,0.58%,1.42%,12,66.4,Top 10 Push,Medium
how to download games on a school ipad,10.6,15,0,0.00%,2.00%,0,66.4,Long-term Target,Medium
after school lessonss for kids,12.6,21,0,0.00%,2.00%,0,66.4,Long-term Target,Medium
systesis,2.5,155,25,16.13%,7.87%,12,66.4,Long-term Target,Medium
elon musk school curriculum,7.1,41,1,2.44%,1.56%,0,66.4,Long-term Target,Medium
math foundation tutoring,10.3,14,0,0.00%,2.00%,0,66.3,Long-term Target,Medium
elon's school,10.8,15,0,0.00%,2.00%,0,66.3,Long-term Target,Medium
elon musk website for students,9.0,11,0,0.00%,2.50%,0,66.3,Long-term Target,Medium
ai tutoring software,8.5,10,0,0.00%,3.00%,0,66.3,Long-term Target,Medium
math for homeschool tutoring,13.2,22,0,0.00%,2.00%,0,66.3,Long-term Target,Medium
fun after school activities for middle schoolers,12.1,99,2,2.02%,0.00%,0,66.3,Top 10 Push,Medium
most popular video games for kids,9.7,161,3,1.86%,0.64%,1,66.2,Top 3 Push,Medium
ai tutoring services,6.5,35,2,5.71%,0.29%,0,66.2,Long-term Target,Medium
login mathletics com es mx,8.6,10,0,0.00%,3.00%,0,66.2,Long-term Target,Medium
elementary school math tutoring,14.6,126,0,0.00%,2.00%,2,66.2,Top 10 Push,Medium
video games that are educational,5.6,112,3,2.68%,6.32%,7,66.2,Top 3 Push,Medium
as a child i used to camp with my siblings in spanish,9.2,11,0,0.00%,2.50%,0,66.2,Long-term Target,Medium
after school hobby,10.7,14,0,0.00%,2.00%,0,66.2,Long-term Target,Medium
ai tutor companies,9.3,55,4,7.27%,0.00%,0,66.2,Long-term Target,Medium
english math tutor.com,8.8,10,0,0.00%,3.00%,0,66.1,Long-term Target,Medium
after school activities for elementary kids,7.3,39,2,5.13%,0.00%,0,66.1,Long-term Target,Medium
excel tutors near me,32.3,1119,0,0.00%,2.00%,22,66.1,Long-term Target,Medium
maths tutor for kids,11.3,15,0,0.00%,2.00%,0,66.1,Long-term Target,Medium
astra ai deutsch,10.5,13,0,0.00%,2.00%,0,66.1,Long-term Target,Medium
elon musks school,9.1,125,0,0.00%,2.50%,3,66.1,Top 3 Push,Medium
games tutoring,11.3,15,0,0.00%,2.00%,0,66.1,Long-term Target,Medium
after-school activities examples,10.7,70,0,0.00%,2.00%,1,66.1,Long-term Target,Medium
school video game,7.1,36,3,8.33%,0.00%,0,66.1,Long-term Target,Medium
elon musk's school,9.6,166,0,0.00%,2.50%,4,66.1,Top 3 Push,Medium
after school activities ideas teachers,11.0,46,1,2.17%,0.00%,0,66.1,Long-term Target,Medium
math a.i,11.1,19,0,0.00%,2.00%,0,66.0,Long-term Target,Medium
first in math,44.4,325,0,0.00%,2.00%,6,66.0,Long-term Target,Medium
math aii,10.2,49,2,4.08%,0.00%,0,66.0,Long-term Target,Medium
elon mush school,10.7,13,1,7.69%,0.00%,0,66.0,Long-term Target,Medium
how birth tutoring,9.7,11,0,0.00%,2.50%,0,66.0,Long-term Target,Medium
ai tutoring programs,9.4,51,1,1.96%,0.54%,0,66.0,Long-term Target,Medium
best after school activities for kids,12.0,79,1,1.27%,0.73%,0,66.0,Top 10 Push,Medium
afterschool activities,16.7,646,3,0.46%,1.54%,9,65.9,Top 10 Push,Medium
learning video game,7.5,35,0,0.00%,4.00%,1,65.9,Long-term Target,Medium
after school program activity ideas,17.6,219,0,0.00%,2.00%,4,65.9,Top 10 Push,Medium
math tutoring curriculum,8.6,44,2,4.55%,0.00%,0,65.9,Long-term Target,Medium
elon must school,9.4,10,0,0.00%,2.50%,0,65.9,Long-term Target,Medium
elon misk school,10.0,11,0,0.00%,2.00%,0,65.9,Long-term Target,Medium
activities for middle schoolers after school,9.5,65,2,3.08%,0.00%,0,65.9,Long-term Target,Medium
best video games kids,10.6,12,0,0.00%,2.00%,0,65.9,Long-term Target,Medium
synthedis,2.8,99,4,4.04%,19.96%,19,65.9,CTR Optimization,Medium
synthrsis,2.4,112,12,10.71%,13.29%,14,65.8,CTR Optimization,Medium
free tutor math,12.7,17,0,0.00%,2.00%,0,65.8,Long-term Target,Medium
math tutor school,11.9,70,0,0.00%,2.00%,1,65.8,Top 10 Push,Medium
middle school after school activities,7.4,21,1,4.76%,0.00%,0,65.8,Long-term Target,Medium
math ai teacher,9.8,51,2,3.92%,0.00%,0,65.8,Long-term Target,Medium
syntetise,4.6,140,1,0.71%,12.29%,17,65.8,Top 3 Push,Medium
addition tutoring,13.8,20,0,0.00%,2.00%,0,65.8,Long-term Target,Medium
syntheisi,2.3,94,5,5.32%,18.68%,17,65.8,CTR Optimization,Medium
educational games video,15.4,26,0,0.00%,2.00%,0,65.8,Long-term Target,Medium
activities for elementary students after school,6.8,37,1,2.70%,3.30%,1,65.8,Long-term Target,Medium
syntethis,2.2,100,8,8.00%,16.00%,15,65.7,CTR Optimization,Medium
mathematical computing tutors,14.5,22,0,0.00%,2.00%,0,65.7,Long-term Target,Medium
amth ai,9.8,18,0,0.00%,2.50%,0,65.7,Long-term Target,Medium
educational adventure games,9.1,44,1,2.27%,0.23%,0,65.7,Long-term Target,Medium
fun after school activities for elementary students,8.1,27,1,3.70%,0.00%,0,65.7,Long-term Target,Medium
maths tuition for 6 year olds,12.7,16,0,0.00%,2.00%,0,65.7,Long-term Target,Medium
sythasis,2.2,102,10,9.80%,14.20%,14,65.7,CTR Optimization,Medium
camp 2025,12.2,73,1,1.37%,0.63%,0,65.7,Top 10 Push,Medium
math tutoring app,8.1,114,2,1.75%,1.25%,1,65.7,Top 3 Push,Medium
popular video games for kids,11.4,693,2,0.29%,1.71%,11,65.6,Top 10 Push,Medium
after school activity ideas,17.1,163,1,0.61%,1.39%,2,65.6,Top 10 Push,Medium
math tutor for elementary students,8.8,38,0,0.00%,3.00%,1,65.6,Long-term Target,Medium
fun afterschool activities,8.4,44,2,4.55%,0.00%,0,65.6,Long-term Target,Medium
after school activities for high school students,7.6,45,2,4.44%,0.00%,0,65.6,Long-term Target,Medium
free online math tutoring for kids,9.3,41,0,0.00%,2.50%,1,65.6,Long-term Target,Medium
after school program ideas elementary,16.6,207,0,0.00%,2.00%,4,65.6,Top 10 Push,Medium
after school fun,11.3,57,0,0.00%,2.00%,1,65.6,Top 10 Push,Medium
home math tutoring,19.1,195,0,0.00%,2.00%,3,65.6,Top 10 Push,Medium
ai totur,4.1,16,0,0.00%,13.00%,2,65.5,Long-term Target,Medium
stynthesis,2.3,111,15,13.51%,10.49%,11,65.5,CTR Optimization,Medium
children''s math tutor,15.0,100,0,0.00%,2.00%,2,65.5,Top 10 Push,Medium
homeschool tutor near me,33.8,1086,0,0.00%,2.00%,21,65.5,Long-term Target,Medium
best online math tutoring for kids,12.4,14,0,0.00%,2.00%,0,65.5,Long-term Target,Medium
appropriate video games,11.9,13,0,0.00%,2.00%,0,65.5,Long-term Target,Medium
matg ai,9.1,16,0,0.00%,2.50%,0,65.5,Long-term Target,Medium
how can underchallenged children be challenged more in the classroom?,6.8,26,0,0.00%,6.00%,1,65.5,Long-term Target,Medium
after school activities for 10 year olds,12.2,64,0,0.00%,2.00%,1,65.5,Top 10 Push,Medium
math help ai,10.2,782,25,3.20%,0.00%,0,65.5,Long-term Target,Medium
mathematical computing tutoring,11.2,11,0,0.00%,2.00%,0,65.4,Long-term Target,Medium
syntisis,2.4,98,10,10.20%,13.80%,13,65.4,CTR Optimization,Medium
boosting children’s confidence,18.6,169,0,0.00%,2.00%,3,65.4,Top 10 Push,Medium
maath ai,9.4,16,0,0.00%,2.50%,0,65.4,Long-term Target,Medium
activities to do with kids after school,7.9,30,0,0.00%,4.00%,1,65.4,Long-term Target,Medium
syntheses ai,4.2,153,10,6.54%,6.46%,9,65.4,Top 3 Push,Medium
gifted instructor di,12.8,13,0,0.00%,2.00%,0,65.4,Long-term Target,Medium
elon.musk school,11.4,11,0,0.00%,2.00%,0,65.3,Long-term Target,Medium
synthesia school,5.4,20,1,5.00%,4.00%,0,65.3,Long-term Target,Medium
dynthesis,2.9,83,1,1.20%,22.80%,18,65.3,CTR Optimization,Medium
math a i,11.1,52,1,1.92%,0.08%,0,65.3,Top 10 Push,Medium
after school activities for teens,17.7,250,2,0.80%,1.20%,3,65.3,Top 10 Push,Medium
popular video games for middle schoolers,10.6,47,1,2.13%,0.00%,0,65.3,Long-term Target,Medium
best math ai tutor,6.1,22,1,4.55%,1.45%,0,65.3,Long-term Target,Medium
math. ai,9.8,12,0,0.00%,2.50%,0,65.2,Long-term Target,Medium
activities after school,12.0,64,1,1.56%,0.44%,0,65.2,Top 10 Push,Medium
maths tuition primary,8.1,12,0,0.00%,3.00%,0,65.2,Long-term Target,Medium
academically challenged,9.2,36,0,0.00%,2.50%,0,65.2,Long-term Target,Medium
fun video games for 12 year olds,11.2,10,0,0.00%,2.00%,0,65.2,Long-term Target,Medium
fun activities for afterschool programs,12.5,60,0,0.00%,2.00%,1,65.2,Top 10 Push,Medium
video games for 6 year olds,15.4,195,1,0.51%,1.49%,2,65.2,Top 10 Push,Medium
find the perfect math tutoring service for our kids,12.6,60,0,0.00%,2.00%,1,65.2,Top 10 Push,Medium
maths tutors near me,43.4,2755,0,0.00%,2.00%,55,65.1,Long-term Target,Medium
good video games for 8 year olds,12.4,12,0,0.00%,2.00%,0,65.1,Long-term Target,Medium
after school activities for high schoolers,8.5,31,0,0.00%,3.00%,0,65.1,Long-term Target,Medium
cool video games for 10 year olds,14.2,16,0,0.00%,2.00%,0,65.1,Long-term Target,Medium
ai math program,7.1,24,3,12.50%,0.00%,0,65.1,Long-term Target,Medium
elon musk's math skills,16.9,25,0,0.00%,2.00%,0,65.1,Long-term Target,Medium
best edutainment games,9.6,36,0,0.00%,2.50%,0,65.1,Long-term Target,Medium
synthesiis,2.6,80,4,5.00%,19.00%,15,65.1,CTR Optimization,Medium
fun activities to do after school,9.5,35,0,0.00%,2.50%,0,65.0,Long-term Target,Medium
how to find a math tutor for your child,15.3,428,0,0.00%,2.00%,8,65.0,Top 10 Push,Medium
after class activities,16.5,106,0,0.00%,2.00%,2,65.0,Top 10 Push,Medium
fun video games to play in school,9.5,35,0,0.00%,2.50%,0,65.0,Long-term Target,Medium
sythsis,2.0,88,11,12.50%,11.50%,10,65.0,CTR Optimization,Medium
video games for kids-6 years old,8.2,60,1,1.67%,1.33%,0,65.0,Long-term Target,Medium
ai reading tutor for kids,12.1,54,2,3.70%,0.00%,0,65.0,Top 10 Push,Medium
synthesys io,12.8,12,1,8.33%,0.00%,0,65.0,Long-term Target,Medium
synthetsis,2.5,77,3,3.90%,20.10%,15,65.0,CTR Optimization,Medium
appropriate video games for kids,16.0,99,0,0.00%,2.00%,1,65.0,Top 10 Push,Medium
sintesis ai,5.9,180,8,4.44%,4.56%,8,65.0,Top 3 Push,Medium
syhthesis,2.3,87,9,10.34%,13.66%,11,65.0,CTR Optimization,Medium
ecole kids,12.4,11,0,0.00%,2.00%,0,64.9,Long-term Target,Medium
best after school programs ideas,20.2,181,0,0.00%,2.00%,3,64.9,Long-term Target,Medium
syntehesis,2.4,82,7,8.54%,15.46%,12,64.9,CTR Optimization,Medium
astra ai tutor,13.0,12,0,0.00%,2.00%,0,64.9,Long-term Target,Medium
ios tutoring,16.9,23,0,0.00%,2.00%,0,64.9,Long-term Target,Medium
math tutor software,6.9,78,1,1.28%,4.72%,3,64.9,Long-term Target,Medium
space x school,7.1,206,5,2.43%,1.57%,3,64.9,Top 3 Push,Medium
math aiu,9.0,13,0,0.00%,2.50%,0,64.9,Long-term Target,Medium
synrhesis,3.2,100,7,7.00%,11.00%,10,64.9,Long-term Target,Medium
is elon musk a mathematician,9.8,34,0,0.00%,2.50%,0,64.8,Long-term Target,Medium
https //www.kidstuttoo.com/,23.3,63,0,0.00%,2.00%,1,64.8,First Page Push,Medium
