Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority,Keyword Difficulty,Average CPC,Search Intent
elementary school math tutoring,14.5,129,0,0.00%,2.00%,2,70.6,First Page Push,High,33,2.51,Informational
math tutoring for elementary students,10.2,97,1,1.03%,0.97%,0,70.6,Long-term Target,High,18,1.72,Informational
math school ai,8.4,64,1,1.56%,1.44%,0,70.6,Long-term Target,High,51,3.43,Informational
video games for kids-6 years old,8.1,61,1,1.64%,1.36%,0,70.6,Long-term Target,High,23,0.79,Informational
after-school activity,10.8,82,0,0.00%,2.00%,1,70.5,Long-term Target,High,28,1.94,Informational
ai tutor for science,20.3,241,0,0.00%,2.00%,4,70.5,Long-term Target,High,61,9.06,Informational
video games for education,7.8,57,1,1.75%,2.25%,1,70.5,Long-term Target,High,30,3.92,Informational
join dot 99.com,8.5,61,0,0.00%,3.00%,1,70.5,Long-term Target,High,33,1.27,Informational
k-12 ai tutor,10.8,81,0,0.00%,2.00%,1,70.5,Long-term Target,High,55,8.15,Informational
synthesize app,5.2,62,5,8.06%,0.94%,0,70.5,Long-term Target,High,5,1.93,Navigational
best educational video games for kids,5.1,40,2,5.00%,4.00%,1,70.5,Long-term Target,High,42,4.5,Commercial
ai tutor for homeschool,4.1,33,1,3.03%,9.97%,3,70.5,Long-term Target,High,47,7.69,Informational
famous educational games,6.9,48,0,0.00%,6.00%,2,70.5,Long-term Target,High,33,3.85,Informational
ai education tutor,6.5,48,2,4.17%,1.83%,0,70.4,Long-term Target,High,68,7.7,Informational
algebra 2 tutor near me,38.2,1164,0,0.00%,2.00%,23,70.4,Content Optimization,High,24,3.09,Informational
after school activity ideas,17.1,164,1,0.61%,1.39%,2,70.4,First Page Push,High,30,1.02,Informational
fun learning games for kids,1.0,20,0,0.00%,31.00%,6,70.4,CTR Optimization,High,34,2.19,Informational
change tutoring,10.2,72,0,0.00%,2.00%,1,70.3,Long-term Target,High,32,2.75,Informational
free online math tutor no sign up,6.5,44,0,0.00%,6.00%,2,70.3,Long-term Target,High,44,2.15,Transactional
7th grade math tutor near me,37.3,1080,0,0.00%,2.00%,21,70.3,Content Optimization,High,34,2.84,Informational
math tutoring for teens,12.5,95,0,0.00%,2.00%,1,70.3,First Page Push,High,35,3.0,Informational
mathematics tutor near me,39.7,1272,0,0.00%,2.00%,25,70.3,Content Optimization,High,30,3.56,Informational
ai tutor school,7.9,52,0,0.00%,4.00%,2,70.3,Long-term Target,High,67,6.38,Informational
home math tutoring,19.1,197,0,0.00%,2.00%,3,70.3,First Page Push,High,33,2.91,Informational
best video games for school,8.2,55,0,0.00%,3.00%,1,70.3,Long-term Target,High,44,1.54,Commercial
maths tutor on line,15.5,130,0,0.00%,2.00%,2,70.2,First Page Push,High,39,3.1,Informational
courses children of summer,6.5,43,0,0.00%,6.00%,2,70.2,Long-term Target,High,19,1.02,Informational
free math ai tutor,7.1,49,1,2.04%,1.96%,0,70.2,Long-term Target,High,52,7.2,Informational
elon musk home school,7.8,52,1,1.92%,2.08%,1,70.2,Long-term Target,High,18,1.17,Informational
ai based math tutor,4.0,31,2,6.45%,6.55%,2,70.2,Long-term Target,High,53,5.84,Informational
synthhesis,2.5,24,1,4.17%,19.83%,4,70.2,CTR Optimization,High,23,1.52,Informational
middle school math tutor,48.7,2175,1,0.05%,1.95%,42,70.2,Content Optimization,High,38,4.4,Informational
easy tutoring,31.7,653,0,0.00%,2.00%,13,70.1,Content Optimization,High,30,4.62,Informational
maths tutor for 5 year old,9.7,63,0,0.00%,2.50%,1,70.1,Long-term Target,High,22,2.7,Informational
list of after school activities,15.1,123,1,0.81%,1.19%,1,70.1,First Page Push,High,23,1.01,Informational
elon tutoring,11.1,74,0,0.00%,2.00%,1,70.1,First Page Push,High,33,3.85,Informational
best math tutor ai,4.1,30,1,3.33%,9.67%,2,70.1,Long-term Target,High,65,15.93,Commercial
after-school activities examples,10.7,70,0,0.00%,2.00%,1,70.0,Long-term Target,High,22,0.94,Informational
ai tutor for high school students,6.8,42,0,0.00%,6.00%,2,70.0,Long-term Target,High,55,4.41,Informational
after school programs ideas,21.6,237,0,0.00%,2.00%,4,70.0,Content Optimization,Medium,19,0.67,Informational
boosting children’s confidence,18.6,169,0,0.00%,2.00%,3,70.0,First Page Push,Medium,17,0.83,Informational
math tutor elementary,25.6,353,0,0.00%,2.00%,7,70.0,Content Optimization,Medium,28,4.13,Informational
a maths tutor,12.9,89,0,0.00%,2.00%,1,70.0,First Page Push,Medium,46,4.47,Informational
elon musk math teacher,4.6,29,0,0.00%,13.00%,3,69.8,Long-term Target,Medium,24,1.72,Informational
ai math helper,29.9,550,3,0.55%,1.45%,8,69.8,Content Optimization,Medium,55,3.03,Informational
sythesys,5.2,33,1,3.03%,5.97%,1,69.8,Long-term Target,Medium,46,1.52,Informational
mathematics tutor makes it easy,9.3,54,0,0.00%,2.50%,1,69.8,Long-term Target,Medium,24,1.91,Informational
best math tutors near me,40.6,1231,0,0.00%,2.00%,24,69.7,Content Optimization,Medium,46,8.34,Commercial
999 math.com,7.4,42,0,0.00%,4.00%,1,69.7,Long-term Target,Medium,31,1.37,Informational
children''s math tutor,14.9,102,0,0.00%,2.00%,2,69.7,First Page Push,Medium,31,2.81,Informational
online summer camp 2025,5.2,32,1,3.12%,5.88%,1,69.7,Long-term Target,Medium,19,1.66,Informational
sinthesise ai,5.2,32,1,3.12%,5.88%,1,69.7,Long-term Target,Medium,52,2.24,Informational
elon musk school curriculum,7.1,41,1,2.44%,1.56%,0,69.7,Long-term Target,Medium,12,0.8,Informational
best ai tutor for math,5.8,33,0,0.00%,9.00%,2,69.6,Long-term Target,Medium,53,16.24,Commercial
educational console games,5.2,30,0,0.00%,9.00%,2,69.6,Long-term Target,Medium,23,2.65,Informational
famous video games for kids,8.8,48,0,0.00%,3.00%,1,69.6,Long-term Target,Medium,18,0.82,Informational
math tutor school,11.9,71,0,0.00%,2.00%,1,69.6,First Page Push,Medium,30,3.86,Informational
best after school programs ideas,20.2,183,0,0.00%,2.00%,3,69.6,Long-term Target,Medium,31,1.39,Commercial
senthisis,2.6,21,2,9.52%,14.48%,3,69.6,CTR Optimization,Medium,38,1.74,Informational
kindergarten tutor near me,33.6,698,0,0.00%,2.00%,13,69.6,Content Optimization,Medium,30,2.54,Informational
aaron sitze,7.8,42,0,0.00%,4.00%,1,69.6,Long-term Target,Medium,39,1.39,Informational
highschool math tutor,40.5,1196,0,0.00%,2.00%,23,69.6,Content Optimization,Medium,24,3.96,Informational
best educational video games for 5 year olds,4.0,25,0,0.00%,13.00%,3,69.6,Long-term Target,Medium,36,3.06,Commercial
ai learning tutor,8.2,44,0,0.00%,3.00%,1,69.6,Long-term Target,Medium,50,7.02,Informational
activities for elementary students after school,6.8,37,1,2.70%,3.30%,1,69.6,Long-term Target,Medium,6,1.04,Informational
math tutor online ai,5.3,32,2,6.25%,2.75%,0,69.6,Long-term Target,Medium,60,5.95,Informational
synthesls,2.2,21,4,19.05%,4.95%,1,69.5,Long-term Target,Medium,45,1.83,Informational
fun video games for kids,12.9,97,1,1.03%,0.97%,0,69.5,First Page Push,Medium,12,1.45,Informational
math tutor for 3rd grade near me,37.2,908,0,0.00%,2.00%,18,69.5,Content Optimization,Medium,21,2.24,Informational
elon musk ai education,5.5,32,2,6.25%,2.75%,0,69.5,Long-term Target,Medium,56,6.37,Informational
educational video games for 6 year olds,5.8,31,0,0.00%,9.00%,2,69.5,Long-term Target,Medium,29,2.27,Informational
list of educational video games,5.0,29,1,3.45%,5.55%,1,69.5,Long-term Target,Medium,17,2.68,Informational
learning games for kids,48.7,1974,1,0.05%,1.95%,38,69.5,Content Optimization,Medium,21,2.7,Informational
best ai tutors for kids,5.1,29,1,3.45%,5.55%,1,69.4,Long-term Target,Medium,53,17.0,Commercial
ai algebra tutor,6.0,32,1,3.12%,5.88%,1,69.4,Long-term Target,Medium,67,9.53,Informational
8th grade math tutor near me,37.7,938,0,0.00%,2.00%,18,69.4,Content Optimization,Medium,23,2.81,Informational
adhd tutors near me,42.4,1300,0,0.00%,2.00%,26,69.4,Content Optimization,Medium,38,2.89,Informational
math tutorial app,12.0,66,0,0.00%,2.00%,1,69.3,First Page Push,Medium,50,2.65,Informational
homeschool tutors near me,26.1,319,0,0.00%,2.00%,6,69.3,Content Optimization,Medium,20,3.97,Informational
best tutor math,10.5,54,0,0.00%,2.00%,1,69.3,Long-term Target,Medium,67,7.38,Commercial
ai tutoring platform,6.2,32,0,0.00%,6.00%,1,69.3,Long-term Target,Medium,58,8.45,Informational
free ai tutor for kids,7.6,38,0,0.00%,4.00%,1,69.3,Long-term Target,Medium,53,9.15,Informational
after school fun,11.2,58,0,0.00%,2.00%,1,69.2,First Page Push,Medium,28,1.44,Informational
math help.tech,4.6,24,0,0.00%,13.00%,3,69.2,Long-term Target,Medium,33,1.74,Informational
appropriate video games for kids,16.0,100,0,0.00%,2.00%,2,69.2,First Page Push,Medium,13,0.88,Informational
mathematics tutoring near me,34.2,665,0,0.00%,2.00%,13,69.2,Content Optimization,Medium,30,1.94,Informational
after class activities,16.5,106,0,0.00%,2.00%,2,69.2,First Page Push,Medium,17,1.6,Informational
math tutor for 4th grade near me,36.9,844,0,0.00%,2.00%,16,69.2,Content Optimization,Medium,15,2.88,Informational
electronic games for learning,19.7,151,0,0.00%,2.00%,3,69.2,First Page Push,Medium,34,1.88,Informational
after school activities for 10 year olds,12.2,64,0,0.00%,2.00%,1,69.2,First Page Push,Medium,18,0.75,Informational
join 99 math,17.1,112,0,0.00%,2.00%,2,69.1,First Page Push,Medium,34,1.14,Informational
ai tutor startup,8.5,40,0,0.00%,3.00%,1,69.1,Long-term Target,Medium,51,5.54,Informational
fun activities for afterschool programs,12.4,64,0,0.00%,2.00%,1,69.1,First Page Push,Medium,15,0.99,Informational
learning video game,7.5,35,0,0.00%,4.00%,1,69.1,Long-term Target,Medium,40,3.01,Informational
coding tutor near me,44.4,1415,0,0.00%,2.00%,28,69.1,Content Optimization,Medium,39,4.87,Informational
after school programming ideas,22.8,208,0,0.00%,2.00%,4,69.1,Content Optimization,Medium,29,0.97,Informational
how to tutor elementary math,17.6,116,0,0.00%,2.00%,2,69.0,First Page Push,Medium,21,2.91,Informational
free ai math tutor online,5.4,26,0,0.00%,9.00%,2,69.0,Long-term Target,Medium,48,8.03,Informational
interactive video games for kids,6.1,30,1,3.33%,2.67%,0,69.0,Long-term Target,Medium,15,0.96,Informational
elementary math tutor online,11.1,54,0,0.00%,2.00%,1,69.0,First Page Push,Medium,37,2.85,Informational
6th grade math tutor,44.5,1410,0,0.00%,2.00%,28,69.0,Content Optimization,Medium,39,4.85,Informational
ai tuter,1.0,14,0,0.00%,31.00%,4,69.0,CTR Optimization,Medium,62,2.2,Informational
how to teach confidence,1.0,14,0,0.00%,31.00%,4,69.0,CTR Optimization,Medium,7,1.23,Informational
learn french for kids,1.0,14,0,0.00%,31.00%,4,69.0,CTR Optimization,Medium,32,2.95,Informational
free online math tutoring for kids,9.4,43,0,0.00%,2.50%,1,69.0,Long-term Target,Medium,35,2.69,Informational
space x summer camp,2.1,18,4,22.22%,1.78%,0,69.0,Long-term Target,Medium,24,1.18,Informational
240 tutoring coupon,35.5,700,0,0.00%,2.00%,14,69.0,Content Optimization,Medium,31,4.64,Informational
educational after school activities,11.1,52,0,0.00%,2.00%,1,68.9,First Page Push,Medium,21,1.86,Informational
adhd tutoring near me,50.3,1973,0,0.00%,2.00%,39,68.9,Long-term Target,Medium,21,3.6,Informational
how can underchallenged children be challenged more in the classroom?,6.5,29,0,0.00%,6.00%,1,68.9,Long-term Target,Medium,10,0.76,Informational
joshua dahn wikipedia,9.7,43,0,0.00%,2.50%,1,68.9,Long-term Target,Medium,16,1.71,Informational
math tutor for kids near me,17.1,103,0,0.00%,2.00%,2,68.9,First Page Push,Medium,37,1.74,Informational
synthetic learning,6.8,31,1,3.23%,2.77%,0,68.8,Long-term Target,Medium,50,4.06,Informational
math tutor for elementary students,8.8,38,0,0.00%,3.00%,1,68.8,Long-term Target,Medium,29,1.99,Informational
math tutor for elementary school,9.4,41,0,0.00%,2.50%,1,68.8,Long-term Target,Medium,32,2.73,Informational
find the perfect math tutoring service for our kids,12.6,60,0,0.00%,2.00%,1,68.8,First Page Push,Medium,17,2.15,Informational
summer programs for kids,31.1,502,4,0.80%,1.20%,6,68.8,Content Optimization,Medium,14,1.53,Informational
cam tutor,38.3,856,0,0.00%,2.00%,17,68.8,Content Optimization,Medium,48,3.47,Informational
computer math tutoring,5.5,24,0,0.00%,9.00%,2,68.8,Long-term Target,Medium,32,3.95,Informational
math tutors for middle school,58.7,2944,0,0.00%,2.00%,58,68.7,Long-term Target,Medium,38,2.42,Informational
how much does a tutor cost,53.8,2326,0,0.00%,2.00%,46,68.7,Long-term Target,Medium,40,2.91,Transactional
is elon musk a mathematician,9.8,41,0,0.00%,2.50%,1,68.7,Long-term Target,Medium,28,0.68,Informational
8th grade math tutors near me,38.8,882,0,0.00%,2.00%,17,68.7,Content Optimization,Medium,27,2.5,Informational
99 math com,9.6,40,0,0.00%,2.50%,1,68.7,Long-term Target,Medium,35,1.28,Informational
activities for afterschool programs,14.5,73,0,0.00%,2.00%,1,68.7,First Page Push,Medium,15,0.65,Informational
99 math.com,22.6,183,0,0.00%,2.00%,3,68.6,Content Optimization,Medium,36,1.58,Informational
synthsesis,2.5,16,1,6.25%,17.75%,2,68.6,CTR Optimization,Medium,27,1.22,Informational
"""credited his mathematics tutor""",7.1,29,0,0.00%,4.00%,1,68.6,Long-term Target,Medium,18,2.89,Informational
computer math tutors,6.0,24,0,0.00%,9.00%,2,68.6,Long-term Target,Medium,44,2.82,Informational
math tutoring website,30.0,390,0,0.00%,2.00%,7,68.6,Content Optimization,Medium,21,3.08,Informational
after school program ideas,29.8,381,0,0.00%,2.00%,7,68.5,Content Optimization,Medium,13,0.64,Informational
activities for kids after school,14.1,67,0,0.00%,2.00%,1,68.5,First Page Push,Medium,12,1.09,Informational
synithis,2.5,16,2,12.50%,11.50%,1,68.5,CTR Optimization,Medium,51,1.35,Informational
ai companies math education,3.6,17,0,0.00%,18.00%,3,68.5,Long-term Target,Medium,55,3.23,Informational
school appropriate games,29.7,396,2,0.51%,1.49%,5,68.5,Content Optimization,Medium,18,1.73,Informational
how to find a math tutor for free,26.0,250,0,0.00%,2.00%,5,68.5,Content Optimization,Medium,31,2.67,Informational
computer tutors near me,41.9,1059,0,0.00%,2.00%,21,68.4,Content Optimization,Medium,32,2.94,Informational
after-school activities,24.1,206,1,0.49%,1.51%,3,68.4,Content Optimization,Medium,25,1.33,Informational
academically challenged,9.2,36,0,0.00%,2.50%,0,68.4,Long-term Target,Medium,15,1.07,Informational
activities to do with kids after school,7.9,30,0,0.00%,4.00%,1,68.4,Long-term Target,Medium,5,1.08,Informational
easy thinkers tutoring,7.3,27,0,0.00%,4.00%,1,68.3,Long-term Target,Medium,35,3.11,Informational
5th grade tutor near me,37.3,719,0,0.00%,2.00%,14,68.3,Content Optimization,Medium,23,4.23,Informational
math tutor online for free,21.3,146,0,0.00%,2.00%,2,68.3,Content Optimization,Medium,51,2.92,Informational
algebra tutor near me,41.6,1016,0,0.00%,2.00%,20,68.3,Content Optimization,Medium,32,3.6,Informational
grade 2 tutor,25.0,217,0,0.00%,2.00%,4,68.3,Content Optimization,Medium,42,3.2,Informational
ai tutor platforms,8.0,30,0,0.00%,3.00%,0,68.3,Long-term Target,Medium,70,8.65,Informational
fun video games to play in school,9.5,36,0,0.00%,2.50%,0,68.3,Long-term Target,Medium,11,0.97,Informational
math help app,28.7,318,0,0.00%,2.00%,6,68.3,Content Optimization,Medium,46,1.9,Informational
after school activities ideas,13.7,58,0,0.00%,2.00%,1,68.3,First Page Push,Medium,12,0.87,Informational
best edutainment games,9.6,36,0,0.00%,2.50%,0,68.3,Long-term Target,Medium,30,4.31,Commercial
easy grade tutor,17.7,94,0,0.00%,2.00%,1,68.2,First Page Push,Medium,48,3.13,Informational
children's online tutoring,19.7,116,0,0.00%,2.00%,2,68.2,First Page Push,Medium,32,2.55,Informational
summer camp online,18.8,108,1,0.93%,1.07%,1,68.2,First Page Push,Medium,27,1.24,Informational
child tutors,23.6,182,0,0.00%,2.00%,3,68.2,Content Optimization,Medium,50,3.31,Informational
fun activities to do after school,9.5,35,0,0.00%,2.50%,0,68.2,Long-term Target,Medium,22,0.87,Informational
math school for kids,18.9,105,0,0.00%,2.00%,2,68.2,First Page Push,Medium,39,1.59,Informational
synthesia school,5.4,21,1,4.76%,4.24%,0,68.2,Long-term Target,Medium,13,1.05,Navigational
high school math tutors,42.7,1075,0,0.00%,2.00%,21,68.2,Content Optimization,Medium,27,2.82,Informational
math tutors for elementary students,12.9,51,0,0.00%,2.00%,1,68.2,First Page Push,Medium,15,1.65,Informational
best math tutoring programs,29.4,332,0,0.00%,2.00%,6,68.1,Content Optimization,Medium,43,4.16,Commercial
educational videos games,7.2,25,0,0.00%,4.00%,1,68.1,Long-term Target,Medium,29,3.78,Informational
find a math tutor,48.0,1517,0,0.00%,2.00%,30,68.1,Content Optimization,Medium,47,2.92,Informational
free tutor app,11.6,44,0,0.00%,2.00%,0,68.1,Long-term Target,Medium,51,4.76,Informational
best math ai tutor,6.1,22,1,4.55%,1.45%,0,68.0,Long-term Target,Medium,51,9.91,Commercial
after school fun activities,10.4,37,0,0.00%,2.00%,0,68.0,Long-term Target,Medium,19,0.76,Informational
good video games for 12 year olds,10.6,38,0,0.00%,2.00%,0,68.0,Long-term Target,Medium,15,0.79,Informational
ai totur,4.1,16,0,0.00%,13.00%,2,68.0,Long-term Target,Medium,75,3.64,Informational
math tutor for adhd students,44.0,1165,1,0.09%,1.91%,22,68.0,Content Optimization,Medium,32,2.68,Informational
sytheisis,1.8,12,1,8.33%,22.67%,2,68.0,CTR Optimization,Medium,53,1.73,Informational
best math tutoring near me,43.9,1130,0,0.00%,2.00%,22,67.9,Content Optimization,Medium,55,3.42,Commercial
best video games for children,12.0,44,0,0.00%,2.00%,0,67.9,Long-term Target,Medium,45,1.37,Commercial
best video games for kindergarteners,14.8,60,0,0.00%,2.00%,1,67.9,First Page Push,Medium,30,1.48,Commercial
high school math tutor,50.7,1780,1,0.06%,1.94%,34,67.9,Long-term Target,Medium,38,4.76,Informational
syntetis,3.1,14,1,7.14%,10.86%,1,67.9,Long-term Target,Medium,39,1.93,Informational
math tutror near me,31.3,371,0,0.00%,2.00%,7,67.8,Content Optimization,Medium,50,1.61,Informational
afterschool activities for kids,10.5,35,0,0.00%,2.00%,0,67.8,Long-term Target,Medium,17,0.92,Informational
kids video game,24.2,172,0,0.00%,2.00%,3,67.8,Content Optimization,Medium,35,1.41,Informational
maths online tutors,19.0,97,0,0.00%,2.00%,1,67.8,First Page Push,Medium,39,4.24,Informational
computer tutoring for kids,24.2,172,0,0.00%,2.00%,3,67.8,Content Optimization,Medium,30,1.7,Informational
best summer programs for elementary students,11.0,37,0,0.00%,2.00%,0,67.8,Long-term Target,Medium,43,1.55,Commercial
best after school activities for learning,13.2,48,0,0.00%,2.00%,0,67.7,Long-term Target,Medium,50,3.75,Commercial
after school activities for middle school,8.5,27,0,0.00%,3.00%,0,67.7,Long-term Target,Medium,7,0.65,Informational
elementary enrichment tutors,7.2,23,0,0.00%,4.00%,0,67.7,Long-term Target,Medium,21,2.73,Informational
7th grade math tutors near me,41.3,885,0,0.00%,2.00%,17,67.7,Content Optimization,Medium,25,2.41,Informational
are there any educational video games suitable for kids,2.6,12,0,0.00%,24.00%,2,67.7,CTR Optimization,Medium,26,2.08,Informational
first in math card of the day,12.3,42,0,0.00%,2.00%,0,67.7,Long-term Target,Medium,24,0.77,Informational
