Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority,Est. Monthly Volume,Keyword Difficulty,Average CPC,Search Intent,Data Source
symthesis ai,3.2,21,7,33.33%,0.00%,0,70.1,Long-term Target,High,105,0,0.0,Informational,Ahrefs
ai algebra tutor,6.0,32,1,3.12%,5.88%,1,70.1,Long-term Target,High,160,0,0.0,Informational,Ahrefs
elon musk ai tutor,6.6,37,5,13.51%,0.00%,0,70.1,Long-term Target,High,185,0,0.0,Informational,Ahrefs
synthesize learning,3.9,102,5,4.90%,13.10%,13,70.1,Long-term Target,High,102,5,0.0,Informational,Ahrefs
aynthesis,2.7,217,10,4.61%,19.39%,42,70.1,CTR Optimization,High,1085,50,0.0,Informational,GSC Est.
space x summer camp,2.1,17,4,23.53%,0.47%,0,70.1,Long-term Target,High,85,0,0.0,Informational,Ahrefs
math ai for kids,3.4,21,4,19.05%,0.00%,0,70.1,Long-term Target,High,105,0,0.0,Informational,Ahrefs
aaron sitze,7.8,42,0,0.00%,4.00%,1,70.1,Long-term Target,High,210,0,0.0,Informational,Ahrefs
math tutoring for teens,12.5,93,0,0.00%,2.00%,1,70.1,Top 10 Push,High,465,0,0.0,Informational,Ahrefs
maths tutor app,12.2,92,2,2.17%,0.00%,0,70.1,Top 10 Push,High,460,0,0.0,Navigational,Ahrefs
ai tutoring platform,6.2,32,0,0.00%,6.00%,1,70.0,Long-term Target,High,160,0,0.0,Informational,Ahrefs
mathematics tutor makes it easy,9.3,54,0,0.00%,2.50%,1,70.0,Long-term Target,High,270,0,0.0,Informational,Ahrefs
ai learning tutor,8.2,44,0,0.00%,3.00%,1,70.0,Long-term Target,High,220,0,0.0,Informational,Ahrefs
what is your favourite after school activity,10.4,67,2,2.99%,0.00%,0,70.0,Long-term Target,Medium,335,0,0.0,Informational,Ahrefs
elon musk online school,6.0,364,28,7.69%,1.31%,4,70.0,Top 3 Push,Medium,364,12,0.0,Informational,Ahrefs
synthsesis,2.5,16,1,6.25%,17.75%,2,70.0,CTR Optimization,Medium,80,0,0.0,Informational,Ahrefs
free ai math tutor online,5.4,26,0,0.00%,9.00%,2,70.0,Long-term Target,Medium,130,0,0.0,Informational,Ahrefs
famous video games for kids,8.7,47,0,0.00%,3.00%,1,69.9,Long-term Target,Medium,235,0,0.0,Informational,Ahrefs
synnthesis,2.0,165,7,4.24%,26.76%,44,69.9,CTR Optimization,Medium,825,50,0.0,Informational,GSC Est.
best video games for family game night,1.1,39,0,0.00%,31.00%,12,69.9,CTR Optimization,Medium,40,0,0.0,Commercial,Ahrefs
ynthesis,2.6,198,5,2.53%,21.47%,42,69.9,CTR Optimization,Medium,990,50,0.0,Informational,GSC Est.
synithis,2.5,16,2,12.50%,11.50%,1,69.9,CTR Optimization,Medium,80,0,0.0,Informational,Ahrefs
free ai tutor for kids,7.6,38,0,0.00%,4.00%,1,69.9,Long-term Target,Medium,190,0,0.0,Informational,Ahrefs
senthesis,3.0,206,7,3.40%,20.60%,42,69.8,CTR Optimization,Medium,1030,50,0.0,Informational,GSC Est.
geometry tutor software,7.1,142,0,0.00%,4.00%,5,69.8,Top 3 Push,Medium,142,0,0.0,Informational,Ahrefs
https://dashboard.synt...,5.2,396,0,0.00%,9.00%,35,69.8,Top 3 Push,Medium,1980,50,0.0,Navigational,GSC Est.
ai companies math education,3.6,17,0,0.00%,18.00%,3,69.8,Long-term Target,Medium,85,0,0.0,Informational,Ahrefs
maths tutor on line,15.5,130,0,0.00%,2.00%,2,69.7,Top 10 Push,Medium,650,0,0.0,Informational,Ahrefs
join 999 math,9.4,203,0,0.00%,2.50%,5,69.7,Top 3 Push,Medium,203,0,0.0,Informational,Ahrefs
video games for kids,18.4,2333,11,0.47%,1.53%,35,69.7,Top 10 Push,Medium,2333,26,0.0,Informational,Ahrefs
synergy tutor,1.0,12,10,83.33%,0.00%,0,69.7,Long-term Target,Medium,60,0,0.0,Informational,Ahrefs
elon musk homeschool,7.9,244,5,2.05%,1.95%,4,69.7,Top 3 Push,Medium,244,5,3.0,Informational,Ahrefs
elon musk school for kids,7.5,599,20,3.34%,0.66%,3,69.6,Top 3 Push,Medium,599,16,0.0,Informational,Ahrefs
computer math tutoring,5.5,23,0,0.00%,9.00%,2,69.6,Long-term Target,Medium,115,0,0.0,Informational,Ahrefs
synthetic learning,6.8,31,1,3.23%,2.77%,0,69.6,Long-term Target,Medium,155,0,0.0,Informational,Ahrefs
ai tutor startup,8.5,39,0,0.00%,3.00%,1,69.6,Long-term Target,Medium,195,0,0.0,Informational,Ahrefs
best tutor math,10.5,54,0,0.00%,2.00%,1,69.6,Long-term Target,Medium,270,0,0.0,Commercial,Ahrefs
summer camp 2025,15.5,536,5,0.93%,1.07%,5,69.6,Top 10 Push,Medium,536,0,1.3,Informational,Ahrefs
sytheisis,1.8,12,1,8.33%,22.67%,2,69.6,CTR Optimization,Medium,60,0,0.0,Informational,Ahrefs
synthesid,2.7,215,14,6.51%,17.49%,37,69.6,CTR Optimization,Medium,1075,50,0.0,Informational,GSC Est.
elementary math tutor,14.0,3779,1,0.03%,1.97%,74,69.5,Top 10 Push,Medium,3779,61,6.0,Informational,Ahrefs
educational video games for 7 year-olds,4.1,70,2,2.86%,10.14%,7,69.5,Long-term Target,Medium,70,0,0.0,Informational,Ahrefs
musk school,9.4,228,8,3.51%,0.00%,0,69.5,Top 3 Push,Medium,228,0,0.0,Informational,Ahrefs
ai tutor for science,20.3,241,0,0.00%,2.00%,4,69.5,Long-term Target,Medium,1205,0,0.0,Informational,Ahrefs
school elon musk,9.8,48,1,2.08%,0.42%,0,69.4,Long-term Target,Medium,240,0,0.0,Informational,Ahrefs
spacex camp,10.8,56,3,5.36%,0.00%,0,69.4,Long-term Target,Medium,280,0,0.0,Informational,Ahrefs
synhesis,2.5,207,13,6.28%,17.72%,36,69.4,CTR Optimization,Medium,1035,50,0.0,Informational,GSC Est.
ai school tutor,5.7,113,9,7.96%,1.04%,1,69.4,Top 3 Push,Medium,113,0,0.0,Informational,Ahrefs
ai math tutor app,6.6,118,4,3.39%,2.61%,3,69.4,Top 3 Push,Medium,118,0,0.0,Navigational,Ahrefs
joshua dahn wikipedia,9.7,43,0,0.00%,2.50%,1,69.3,Long-term Target,Medium,215,0,0.0,Informational,Ahrefs
computer math tutors,6.0,23,0,0.00%,6.00%,1,69.3,Long-term Target,Medium,115,0,0.0,Informational,Ahrefs
syntetis,3.1,14,1,7.14%,10.86%,1,69.3,Long-term Target,Medium,70,0,0.0,Informational,Ahrefs
elon musk math app,1.1,52,17,32.69%,0.00%,0,69.3,Long-term Target,Medium,52,0,0.0,Navigational,Ahrefs
free ai math tutor,7.6,144,3,2.08%,1.92%,2,69.3,Top 3 Push,Medium,144,0,0.0,Informational,Ahrefs
synthwsis,1.7,11,2,18.18%,12.82%,1,69.3,Long-term Target,Medium,55,0,0.0,Informational,Ahrefs
sybthesis tutor,1.0,10,9,90.00%,0.00%,0,69.3,Long-term Target,Medium,50,0,0.0,Informational,Ahrefs
are there any educational video games suitable for kids,2.6,12,0,0.00%,24.00%,2,69.3,CTR Optimization,Medium,60,0,0.0,Informational,Ahrefs
educational videos and games for kids,18.4,579,0,0.00%,2.00%,11,69.2,Top 10 Push,Medium,579,0,0.0,Informational,Ahrefs
good video games to play at school,7.7,30,1,3.33%,0.67%,0,69.2,Long-term Target,Medium,150,0,0.0,Informational,Ahrefs
synthessis,2.3,214,19,8.88%,15.12%,32,69.2,CTR Optimization,Medium,1070,50,0.0,Informational,GSC Est.
elon musk learning app,1.2,47,13,27.66%,3.34%,1,69.1,Long-term Target,Medium,47,0,0.0,Navigational,Ahrefs
ai tutor for schools,8.2,32,1,3.12%,0.00%,0,69.1,Long-term Target,Medium,160,0,0.0,Informational,Ahrefs
syntgesis,2.9,200,13,6.50%,17.50%,35,69.1,CTR Optimization,Medium,1000,50,0.0,Informational,GSC Est.
synthese ai,5.9,21,4,19.05%,0.00%,0,69.1,Long-term Target,Medium,105,0,0.0,Informational,Ahrefs
ai tutor platforms,8.0,30,0,0.00%,3.00%,0,69.1,Long-term Target,Medium,150,0,0.0,Informational,Ahrefs
ai tutor elon musk,7.2,26,5,19.23%,0.00%,0,69.1,Long-term Target,Medium,130,0,0.0,Informational,Ahrefs
educational videos games,7.2,25,0,0.00%,4.00%,1,69.1,Long-term Target,Medium,125,0,0.0,Informational,Ahrefs
synthensis,2.9,203,14,6.90%,17.10%,34,69.0,CTR Optimization,Medium,1015,50,0.0,Informational,GSC Est.
easy thinkers tutoring,7.3,25,0,0.00%,4.00%,1,69.0,Long-term Target,Medium,125,0,0.0,Informational,Ahrefs
syntezis,6.6,23,2,8.70%,0.00%,0,69.0,Long-term Target,Medium,115,0,0.0,Informational,Ahrefs
space x camp,10.2,42,3,7.14%,0.00%,0,69.0,Long-term Target,Medium,210,0,0.0,Informational,Ahrefs
good after school activities for kids,7.2,25,1,4.00%,0.00%,0,69.0,Long-term Target,Medium,125,0,0.0,Informational,Ahrefs
are there any educational video games for kids,4.5,15,0,0.00%,13.00%,1,68.9,Long-term Target,Medium,75,0,0.0,Informational,Ahrefs
marh ai,9.0,43,1,2.33%,0.17%,0,68.9,Long-term Target,Medium,250,5,0.15,Informational,Ahrefs
after school activities ideas for elementary,9.1,212,11,5.19%,0.00%,0,68.9,Top 3 Push,Medium,212,3,0.0,Informational,Ahrefs
kids math tutoring,8.7,181,0,0.00%,3.00%,5,68.8,Top 3 Push,Medium,181,5,0.0,Informational,Ahrefs
sythnesis,2.1,183,13,7.10%,16.90%,30,68.7,CTR Optimization,Medium,915,50,0.0,Informational,GSC Est.
school is too easy,8.3,27,1,3.70%,0.00%,0,68.7,Long-term Target,Medium,135,0,0.0,Informational,Ahrefs
family link tutor time,10.7,178,0,0.00%,2.00%,3,68.7,Long-term Target,Medium,178,0,0.0,Informational,Ahrefs
afterschool activity,8.4,271,0,0.00%,3.00%,8,68.7,Top 3 Push,Medium,271,12,0.0,Informational,Ahrefs
elon musk school for kids online,5.8,17,0,0.00%,9.00%,1,68.7,Long-term Target,Medium,85,0,0.0,Informational,Ahrefs
best ai maths tutor,2.7,10,1,10.00%,14.00%,1,68.7,CTR Optimization,Medium,50,0,0.0,Commercial,Ahrefs
sythesis ai,4.0,509,78,15.32%,2.68%,13,68.7,Long-term Target,Medium,2545,50,0.0,Informational,GSC Est.
spacex education program,3.7,49,3,6.12%,11.88%,5,68.6,Long-term Target,Medium,49,0,0.0,Informational,Ahrefs
ai math tutoring,7.4,114,4,3.51%,0.49%,0,68.6,Top 3 Push,Medium,114,0,0.0,Informational,Ahrefs
stnthesis ai,2.6,10,8,80.00%,0.00%,0,68.6,Long-term Target,Medium,50,0,0.0,Informational,Ahrefs
elon tutoring,11.1,74,0,0.00%,2.00%,1,68.6,Top 10 Push,Medium,200,0,0.0,Informational,Ahrefs
elementary enrichment tutors,7.3,22,0,0.00%,4.00%,0,68.6,Long-term Target,Medium,110,0,0.0,Informational,Ahrefs
ai tutor for middle school students,6.5,19,1,5.26%,0.74%,0,68.6,Long-term Target,Medium,95,0,0.0,Informational,Ahrefs
learning video games for kids,6.7,86,2,2.33%,3.67%,3,68.6,Long-term Target,Medium,86,0,0.0,Informational,Ahrefs
math ai tutor free,8.4,26,2,7.69%,0.00%,0,68.6,Long-term Target,Medium,130,0,0.0,Informational,Ahrefs
ask many tutors,8.4,26,0,0.00%,3.00%,0,68.6,Long-term Target,Medium,130,0,0.0,Informational,Ahrefs
video games you can play at school,8.0,24,1,4.17%,0.00%,0,68.5,Long-term Target,Medium,120,0,0.0,Informational,Ahrefs
fun video games to play at school,8.4,559,3,0.54%,2.46%,13,68.5,Top 3 Push,Medium,559,24,0.0,Informational,Ahrefs
school ai tutor,8.7,27,1,3.70%,0.00%,0,68.5,Long-term Target,Medium,135,0,0.0,Informational,Ahrefs
after-school activities for 12 year olds,8.8,27,3,11.11%,0.00%,0,68.5,Long-term Target,Medium,135,0,0.0,Informational,Ahrefs
my child is not challenged at school,1.6,32,4,12.50%,18.50%,5,68.5,CTR Optimization,Medium,32,0,0.0,Informational,Ahrefs
shnthesis,2.6,156,4,2.56%,21.44%,33,68.5,CTR Optimization,Medium,780,50,0.0,Informational,GSC Est.
mathematics education tutoring,8.0,23,0,0.00%,3.00%,0,68.4,Long-term Target,Medium,115,0,0.0,Informational,Ahrefs
summer workshop for kids,8.3,24,1,4.17%,0.00%,0,68.4,Long-term Target,Medium,120,0,0.0,Informational,Ahrefs
best video games for children,12.0,44,0,0.00%,2.00%,0,68.4,Long-term Target,Medium,220,0,0.0,Commercial,Ahrefs
signs your child is not being challenged in school,5.5,62,1,1.61%,7.39%,4,68.4,Long-term Target,Medium,62,0,0.0,Informational,Ahrefs
ai math tutor high school,6.1,16,0,0.00%,6.00%,0,68.4,Long-term Target,Medium,80,0,0.0,Informational,Ahrefs
best educational video games,6.0,148,8,5.41%,3.59%,5,68.4,Top 3 Push,Medium,148,10,1.4,Commercial,Ahrefs
ai tutoring math,5.7,15,2,13.33%,0.00%,0,68.3,Long-term Target,Medium,75,0,0.0,Informational,Ahrefs
musk online school,6.8,18,2,11.11%,0.00%,0,68.3,Long-term Target,Medium,90,0,0.0,Informational,Ahrefs
de synthesize,8.8,25,0,0.00%,3.00%,0,68.3,Long-term Target,Medium,125,0,0.0,Informational,Ahrefs
maths tutor for 10 year old,5.6,14,0,0.00%,9.00%,1,68.3,Long-term Target,Medium,70,0,0.0,Informational,Ahrefs
math tutor summer,10.3,32,0,0.00%,2.00%,0,68.3,Long-term Target,Medium,160,0,0.0,Informational,Ahrefs
spacex school for kids,5.0,13,1,7.69%,1.31%,0,68.3,Long-term Target,Medium,65,0,0.0,Informational,Ahrefs
fun games to play at school video games,7.3,19,1,5.26%,0.00%,0,68.3,Long-term Target,Medium,95,0,0.0,Informational,Ahrefs
math tutoring near me,43.6,7377,0,0.00%,2.00%,147,68.3,Long-term Target,Medium,7377,29,9.0,Informational,Ahrefs
how many educational video games are there,3.5,10,1,10.00%,8.00%,0,68.3,Long-term Target,Medium,50,0,0.0,Informational,Ahrefs
video games for learning,5.1,122,1,0.82%,8.18%,9,68.2,Top 3 Push,Medium,122,12,0.6,Informational,Ahrefs
math tutoring ai,7.2,92,4,4.35%,0.00%,0,68.2,Long-term Target,Medium,92,0,0.0,Informational,Ahrefs
elementary school computer lab games 2010s,1.0,24,0,0.00%,31.00%,7,68.2,CTR Optimization,Medium,24,0,0.0,Informational,Ahrefs
math for homeschool tutors,8.4,22,0,0.00%,3.00%,0,68.2,Long-term Target,Medium,110,0,0.0,Informational,Ahrefs
educational videogames,5.2,144,1,0.69%,8.31%,11,68.2,Top 3 Push,Medium,144,15,0.0,Informational,Ahrefs
after school projects for kids,6.9,17,1,5.88%,0.12%,0,68.2,Long-term Target,Medium,85,0,0.0,Informational,Ahrefs
after school program activities,27.0,1440,3,0.21%,1.79%,25,68.1,First Page Push,Medium,1440,6,0.0,Informational,Ahrefs
fun activities for after school,7.8,19,1,5.26%,0.00%,0,68.1,Long-term Target,Medium,95,0,0.0,Informational,Ahrefs
learning video games for toddlers,9.9,27,0,0.00%,2.50%,0,68.1,Long-term Target,Medium,135,0,0.0,Informational,Ahrefs
elon musk education program,7.3,87,4,4.60%,0.00%,0,68.1,Long-term Target,Medium,87,0,0.0,Informational,Ahrefs
maths english tutor,12.8,44,0,0.00%,2.00%,0,68.1,Long-term Target,Medium,220,0,0.0,Informational,Ahrefs
elon musk mathematics,7.4,84,2,2.38%,1.62%,1,68.0,Long-term Target,Medium,84,0,0.0,Informational,Ahrefs
after school hobbies,7.7,80,0,0.00%,4.00%,3,68.0,Long-term Target,Medium,80,0,0.0,Informational,Ahrefs
educational video games for preschoolers,6.1,14,1,7.14%,0.00%,0,68.0,Long-term Target,Medium,70,0,0.0,Informational,Ahrefs
math tutor cost,31.5,1486,0,0.00%,2.00%,29,68.0,Long-term Target,Medium,1486,0,1.4,Commercial,Ahrefs
math tutor online for kids,10.1,27,0,0.00%,2.00%,0,68.0,Long-term Target,Medium,135,0,0.0,Informational,Ahrefs
kindergarten math tutoring,14.0,237,0,0.00%,2.00%,4,67.9,Top 10 Push,Medium,237,1,4.5,Informational,Ahrefs
best school video games,9.5,24,0,0.00%,2.50%,0,67.9,Long-term Target,Medium,120,0,0.0,Commercial,Ahrefs
science ai tutor,7.8,18,1,5.56%,0.00%,0,67.9,Long-term Target,Medium,90,0,0.0,Informational,Ahrefs
fun after school activities,11.2,211,1,0.47%,1.53%,3,67.9,Top 10 Push,Medium,211,5,0.0,Informational,Ahrefs
learning video games,6.3,376,5,1.33%,4.67%,17,67.8,Top 3 Push,Medium,376,29,0.8,Informational,Ahrefs
fun video games for school,6.0,57,1,1.75%,4.25%,2,67.8,Long-term Target,Medium,57,0,0.0,Informational,Ahrefs
aftercare activities for kids,9.2,21,1,4.76%,0.00%,0,67.7,Long-term Target,Medium,105,0,0.0,Informational,Ahrefs
learning video games for 5 year olds,5.8,50,0,0.00%,9.00%,4,67.7,Long-term Target,Medium,50,0,0.0,Informational,Ahrefs
elon musk math skills,9.4,109,2,1.83%,0.67%,0,67.7,Top 3 Push,Medium,109,0,0.0,Informational,Ahrefs
fun things to do after school,12.1,155,1,0.65%,1.35%,2,67.7,Top 10 Push,Medium,155,0,0.0,Informational,Ahrefs
spacex academy,7.3,15,1,6.67%,0.00%,0,67.7,Long-term Target,Medium,75,0,0.0,Informational,Ahrefs
educational games examples,9.0,94,1,1.06%,1.94%,1,67.7,Long-term Target,Medium,94,0,0.0,Informational,Ahrefs
maths online tutoring program free,9.1,20,0,0.00%,2.50%,0,67.7,Long-term Target,Medium,100,0,0.0,Informational,Ahrefs
elon mask school,9.7,22,1,4.55%,0.00%,0,67.7,Long-term Target,Medium,110,0,0.0,Informational,Ahrefs
synthezis,2.3,137,5,3.65%,20.35%,27,67.6,CTR Optimization,Medium,685,50,0.0,Informational,GSC Est.
addition tutors,9.7,22,0,0.00%,2.50%,0,67.6,Long-term Target,Medium,110,0,0.0,Informational,Ahrefs
educational computer games for 7 year olds,7.5,15,0,0.00%,4.00%,0,67.6,Long-term Target,Medium,75,0,0.0,Informational,Ahrefs
math foundation tutors,9.8,22,0,0.00%,2.50%,0,67.6,Long-term Target,Medium,110,0,0.0,Informational,Ahrefs
conceptual math tutors,9.5,21,0,0.00%,2.50%,0,67.6,Long-term Target,Medium,105,0,0.0,Informational,Ahrefs
best video games to play in school,8.7,83,0,0.00%,3.00%,2,67.6,Long-term Target,Medium,83,0,0.0,Commercial,Ahrefs
best online homeschool programs,1.0,23,0,0.00%,31.00%,7,67.6,CTR Optimization,Medium,1900,55,3.5,Commercial,Ahrefs
math tutor free app,8.4,17,0,0.00%,3.00%,0,67.6,Long-term Target,Medium,85,0,0.0,Navigational,Ahrefs
mathematics education tutors,9.9,22,0,0.00%,2.50%,0,67.6,Long-term Target,Medium,110,0,0.0,Informational,Ahrefs
maths tuition near me,43.8,3271,0,0.00%,2.00%,65,67.6,Long-term Target,Medium,3271,5,6.0,Informational,Ahrefs
example of educational games,9.7,21,0,0.00%,2.50%,0,67.6,Long-term Target,Medium,105,0,0.0,Informational,Ahrefs
maths tutor free,10.8,25,0,0.00%,2.00%,0,67.5,Long-term Target,Medium,125,0,0.0,Informational,Ahrefs
son math,6.9,13,1,7.69%,0.00%,0,67.5,Long-term Target,Medium,65,0,0.0,Informational,Ahrefs
240 tutoring free trial,11.9,17,0,0.00%,2.00%,0,67.5,Long-term Target,Medium,150,0,0.35,Informational,Ahrefs
academic video games,6.6,56,1,1.79%,4.21%,2,67.5,Long-term Target,Medium,56,0,0.0,Informational,Ahrefs
240 tutoring,39.3,225,0,0.00%,2.00%,4,67.5,Long-term Target,Medium,36000,12,0.07,Informational,Ahrefs
ai tuter,1.0,14,0,0.00%,31.00%,4,67.5,CTR Optimization,Medium,20,0,0.0,Informational,Ahrefs
learn video games,10.4,23,0,0.00%,2.00%,0,67.5,Long-term Target,Medium,115,0,0.0,Informational,Ahrefs
math and coding tutor,9.6,20,0,0.00%,2.50%,0,67.5,Long-term Target,Medium,100,0,0.0,Informational,Ahrefs
fun afterschool activities for kids,7.0,62,1,1.61%,2.39%,1,67.5,Long-term Target,Medium,62,0,0.0,Informational,Ahrefs
after school program activities for kids,16.8,435,0,0.00%,2.00%,8,67.5,Top 10 Push,Medium,435,7,0.0,Informational,Ahrefs
free math tutoring for kids,10.3,101,0,0.00%,2.00%,2,67.4,Long-term Target,Medium,101,0,0.0,Informational,Ahrefs
easy after school activities,10.6,105,0,0.00%,2.00%,2,67.4,Long-term Target,Medium,105,0,0.0,Informational,Ahrefs
fun ideas for after school programs,14.2,187,0,0.00%,2.00%,3,67.4,Top 10 Push,Medium,187,0,0.0,Informational,Ahrefs
elon math,9.2,18,1,5.56%,0.00%,0,67.4,Long-term Target,Medium,90,0,0.0,Informational,Ahrefs
ai math tutoring tools,9.2,18,0,0.00%,2.50%,0,67.4,Long-term Target,Medium,90,0,0.0,Informational,Ahrefs
personalized math tutoring,7.9,69,1,1.45%,2.55%,1,67.4,Long-term Target,Medium,69,0,0.0,Informational,Ahrefs
confidence building habits,8.1,15,0,0.00%,3.00%,0,67.4,Long-term Target,Medium,75,0,0.0,Informational,Ahrefs
popular educational video games,7.8,14,1,7.14%,0.00%,0,67.3,Long-term Target,Medium,70,0,0.0,Informational,Ahrefs
good program to use for summer leaening for kids,8.2,15,0,0.00%,3.00%,0,67.3,Long-term Target,Medium,75,0,0.0,Informational,Ahrefs
fun things to do with kids after school,11.6,121,0,0.00%,2.00%,2,67.3,Top 10 Push,Medium,121,0,0.0,Informational,Ahrefs
spacex education,6.1,52,3,5.77%,0.23%,0,67.3,Long-term Target,Medium,52,0,0.0,Informational,Ahrefs
afterschool activities ideas,8.6,16,0,0.00%,3.00%,0,67.3,Long-term Target,Medium,80,0,0.0,Informational,Ahrefs
999 math login,8.7,74,0,0.00%,3.00%,2,67.3,Long-term Target,Medium,74,0,0.0,Navigational,Ahrefs
education video game,10.0,20,0,0.00%,2.00%,0,67.3,Long-term Target,Medium,100,0,0.0,Informational,Ahrefs
escuela elon musk online,8.3,15,1,6.67%,0.00%,0,67.3,Long-term Target,Medium,75,0,0.0,Informational,Ahrefs
elon musk spacex school,8.8,16,0,0.00%,3.00%,0,67.3,Long-term Target,Medium,80,0,0.0,Informational,Ahrefs
after-school activities for 10 year olds,10.8,104,0,0.00%,2.00%,2,67.3,Long-term Target,Medium,104,0,0.0,Informational,Ahrefs
99 math.com,22.6,183,0,0.00%,2.00%,3,67.3,First Page Push,Medium,5500,24,0.45,Informational,Ahrefs
synergy tutoring,13.8,37,2,5.41%,0.00%,0,67.3,Long-term Target,Medium,185,0,0.0,Informational,Ahrefs
spacex school,7.4,404,10,2.48%,1.52%,6,67.2,Top 3 Push,Medium,404,25,0.0,Informational,Ahrefs
math and science tutor app,11.8,26,0,0.00%,2.00%,0,67.2,Long-term Target,Medium,130,0,0.0,Navigational,Ahrefs
best summer classes for kids,11.0,23,0,0.00%,2.00%,0,67.2,Long-term Target,Medium,115,0,0.0,Commercial,Ahrefs
ai tutor math,9.0,81,11,13.58%,0.00%,0,67.2,Long-term Target,Medium,81,0,0.0,Informational,Ahrefs
ai homeschool tutor,7.8,13,0,0.00%,4.00%,0,67.2,Long-term Target,Medium,65,0,0.0,Informational,Ahrefs
after school activities for elementary students,7.7,73,1,1.37%,2.63%,1,67.2,Long-term Target,Medium,73,2,0.0,Informational,Ahrefs
video game for kids,13.8,743,2,0.27%,1.73%,12,67.1,Top 10 Push,Medium,743,23,0.0,Informational,Ahrefs
synsthesis,2.8,125,4,3.20%,20.80%,26,67.1,CTR Optimization,Medium,625,50,0.0,Informational,GSC Est.
syntheseis,2.4,137,10,7.30%,16.70%,22,67.1,CTR Optimization,Medium,685,50,0.0,Informational,GSC Est.
math ai',9.4,79,0,0.00%,2.50%,1,67.1,Long-term Target,Medium,80,0,0.0,Informational,Ahrefs
best video games to play in class,9.6,17,0,0.00%,2.50%,0,67.1,Long-term Target,Medium,85,0,0.0,Commercial,Ahrefs
synsis,5.9,254,1,0.39%,8.61%,21,67.1,Top 3 Push,Medium,1270,50,0.0,Informational,GSC Est.
examples of after school activities,8.0,59,0,0.00%,4.00%,2,67.1,Long-term Target,Medium,59,0,0.0,Informational,Ahrefs
best summer programs for kids,7.6,12,0,0.00%,4.00%,0,67.1,Long-term Target,Medium,60,0,0.0,Commercial,Ahrefs
elon musk academy,10.0,82,0,0.00%,2.50%,2,67.0,Long-term Target,Medium,82,0,0.0,Informational,Ahrefs
elon musk school online,6.0,105,15,14.29%,0.00%,0,67.0,Top 3 Push,Medium,105,10,0.0,Informational,Ahrefs
synthese login,2.5,129,7,5.43%,18.57%,23,67.0,CTR Optimization,Medium,645,50,0.0,Navigational,GSC Est.
kids learning video games,8.7,71,2,2.82%,0.18%,0,67.0,Long-term Target,Medium,71,0,0.0,Informational,Ahrefs
ai tutor online platform,8.2,13,0,0.00%,3.00%,0,67.0,Long-term Target,Medium,65,0,0.0,Informational,Ahrefs
best videogames for kids,11.3,22,1,4.55%,0.00%,0,67.0,Long-term Target,Medium,110,0,0.0,Commercial,Ahrefs
