#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
143,how to do multiplication,us,0,2600,0.60,0.63,how to do long multiplication,2025-06-03 03:10:06,"AI overview,Thumbnail,People also ask,Sitelinks",5100,1400,1400,2015-09-03,"Informational,Non-branded,Non-local"
144,apps like turo,us,43,2600,0.90,0.9,apps like turo,2025-06-05 19:42:58,"AI overview,Thumbnail,Sitelinks,People also ask,Discussions",2700,2800,2900,2015-12-09,"Informational,Commercial,Branded,Non-local"
145,free math apps,us,76,2600,0.90,1.1,math apps for kids,2025-06-05 02:26:01,"Sitelinks,People also ask",2800,7700,11000,2015-09-03,"Informational,Non-branded,Non-local"
146,elon kids,us,56,2600,,,elon musk children,2025-06-05 02:10:08,"Sitelinks,People also ask,Top stories,Thumbnail,Knowledge panel",3000,282000,365000,2018-11-17,"Informational,Non-branded,Non-local"
147,8am to 4pm is how many hours,us,7,2600,,0.74,8am to 4pm is how many hours,2025-06-06 05:21:12,"People also ask,Sitelinks",3700,2600,3100,2015-11-09,"Informational,Non-branded,Non-local"
148,ai math solver online free,us,37,2500,0.15,,math solver,2025-06-06 03:26:45,Sitelinks,6300,772000,1340000,2023-03-02,"Informational,Branded,Non-local"
149,math enrichment,us,1,2500,2.50,0.97,math enrichment,2025-06-05 09:33:50,"AI overview,Thumbnail,People also ask,Sitelinks,Knowledge panel",2900,4600,4600,2015-09-02,"Informational,Non-branded,Non-local"
150,kidnuz,us,3,2500,0.35,,kidnuz,2025-06-05 05:36:15,"Sitelinks,Knowledge panel",2800,4100,4700,2018-11-11,"Informational,Branded,Non-local"
151,elon musk phone number,us,3,2500,0.06,1.04,elon musk phone number,2025-06-05 04:41:58,"People also ask,Thumbnail,Sitelinks",4300,5000,8100,2015-11-24,"Informational,Non-branded,Non-local"
152,elon musk kid names,us,47,2500,,,elon musk children ages,2025-06-06 00:19:48,"Thumbnail,People also ask,Sitelinks,Knowledge panel",2800,42000,64000,2017-11-20,"Informational,Non-branded,Non-local"
153,how to do algebra,us,36,2500,0.50,0.76,how to do algebra,2025-06-06 01:10:31,"People also ask,Sitelinks,Bottom ads",4100,600,900,2015-09-01,"Informational,Non-branded,Non-local"
154,adhd 2.0,us,18,2500,0.20,,adhd 2.0,2025-06-05 15:57:28,"People also ask,Knowledge panel,Sitelinks",5300,1100,1100,2020-12-11,"Informational,Commercial,Transactional,Branded,Non-local"
155,how many kids does musk have,us,54,2500,,,elon musk children,2025-06-03 00:08:27,"Knowledge card,People also ask,Knowledge panel,Sitelinks,Thumbnail,Top stories",2700,266000,351000,2017-10-02,"Informational,Non-branded,Non-local"
156,best ipad for college,us,35,2400,,1.09,best ipad for college,2025-06-06 01:52:05,"Sitelinks,People also ask,Thumbnail,Top stories",2700,2900,4400,2015-09-07,"Informational,Commercial,Branded,Non-local"
157,kids summer camps near me,us,38,2400,,1.32,summer camps near me,2025-06-02 08:47:49,"Local teaser pack,Sitelinks",3400,41000,43000,2016-03-22,"Informational,Non-branded,Local"
158,math lesson site,us,96,2400,1.30,,math lessons site,2025-06-05 20:28:11,Sitelinks,2500,2900,2900,2023-12-05,"Informational,Navigational,Non-branded,Non-local"
159,kids discover,us,5,2300,,0.95,kids discover,2025-06-03 03:42:08,"Sitelinks,People also ask,Knowledge panel",2500,2300,2300,2015-09-03,"Informational,Non-branded,Non-local"
160,constellations for kids,us,23,2300,,1.17,constellations for kids,2025-05-31 07:20:30,"AI overview,Thumbnail,People also ask",5400,700,800,2015-09-01,"Informational,Non-branded,Non-local"
161,elon musks kid,us,57,2300,,,elon musk kids,2025-06-01 16:52:33,"Sitelinks,People also ask,Top stories,Thumbnail,Knowledge panel",2400,117000,203000,2020-01-12,"Informational,Non-branded,Non-local"
162,elon musk kids how many,us,54,2300,,,nevada alexander musk,2025-05-31 20:28:48,"Knowledge card,People also ask,Knowledge panel,Sitelinks,Thumbnail,Top stories",2700,303000,395000,2020-09-23,"Informational,Non-branded,Non-local"
163,school appropriate games,us,82,2200,,0.99,abcya,2025-05-31 10:38:42,"AI overview,Thumbnail,Sitelinks",2400,2460000,2620000,2015-09-10,"Informational,Non-branded,Non-local"
164,classroom tables,us,3,2200,1.30,0.87,classroom tables,2025-06-02 14:36:30,"Shopping,Thumbnail,Sitelinks",3600,1200,1300,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
165,math 99 join,us,33,2200,0.90,,99 math join,2025-06-06 02:45:13,,2800,72000,76000,2020-10-30,"Navigational,Branded,Non-local"
166,elon musks son,us,60,2200,0.03,,elon musk children,2025-06-05 00:26:52,"Sitelinks,People also ask,Thumbnail,Top stories,Video preview,Knowledge panel",2800,282000,365000,2015-09-20,"Informational,Non-branded,Non-local"
167,elon age,us,78,2200,,,elon musk,2025-06-01 19:44:24,"Sitelinks,People also ask,Knowledge panel",2400,438000,723000,2016-12-14,"Informational,Non-branded,Non-local"
168,how to do math,us,10,2200,0.80,0.38,how to do math,2025-05-30 19:52:05,"AI overview,Thumbnail,People also ask,Sitelinks,Top stories",2800,200,500,2015-09-01,"Informational,Non-branded,Non-local"
169,video games for kids,us,26,2200,,0.59,kids video games,2025-06-01 14:09:56,"AI overview,Thumbnail,Shopping,People also ask,Sitelinks,Top stories",7600,1600,3000,2015-09-06,"Informational,Commercial,Non-branded,Non-local"
170,math 180,us,0,2200,1.70,1.03,math 180,2025-05-30 19:04:36,"People also ask,Sitelinks,Bottom ads,Paid sitelinks",2500,2500,2600,2015-09-01,"Informational,Branded,Non-local"
171,best ai for math,us,12,2200,0.90,,best ai for math,2025-06-06 02:51:14,"AI overview,Thumbnail,Featured snippet,Sitelinks,Discussions,People also ask,Top stories",4300,150,300,2022-12-28,"Informational,Non-branded,Non-local"
172,math curriculum,us,70,2200,1.50,0.68,math curriculum,2025-05-30 03:39:58,"Sitelinks,People also ask,Top stories,Thumbnail",5600,2100,2100,2015-09-01,"Informational,Non-branded,Non-local"
173,critical thinker,us,62,2100,0.20,0.28,critical thinking,2025-06-03 02:19:22,"AI overview,Thumbnail,Featured snippet,People also ask,Knowledge panel,Top stories,Sitelinks",4200,22000,44000,2015-09-02,"Informational,Non-branded,Non-local"
174,tutor ai,us,31,2100,1.00,,ai tutor,2025-06-01 11:32:09,Sitelinks,27000,2700,17000,2020-06-23,"Informational,Commercial,Branded,Non-local"
175,math for kids,us,91,2100,,1.05,math for kids,2025-06-01 14:35:20,"Sitelinks,Knowledge panel,Top stories,Thumbnail",3900,5000,5000,2015-09-01,"Informational,Non-branded,Non-local"
176,how to find range in math,us,1,2100,0.90,0.29,how to find the range,2025-05-30 18:38:20,"AI overview,Thumbnail,Featured snippet,People also ask,Sitelinks",2400,8300,11000,2015-09-15,"Informational,Non-branded,Non-local"
177,math lesson,us,68,2100,1.10,0.61,math lessons,2025-06-02 15:47:06,"Sitelinks,Top stories,Thumbnail",3300,14000,15000,2015-09-08,"Informational,Non-branded,Non-local"
178,how many hours is 8am to 5pm,us,6,2100,,0.55,8-5 is how many hours,2025-05-31 22:28:25,"People also ask,Sitelinks",3400,3500,4600,2015-09-19,"Informational,Non-branded,Non-local"
179,best math ai,us,5,2100,0.90,,best ai for math,2025-06-05 02:02:56,"Top ads,Sitelinks,Top stories,Thumbnail,Bottom ads",4300,2900,3600,2022-12-15,"Informational,Non-branded,Non-local"
180,how old are 1st graders,us,4,2000,0.06,0.17,first grade,2025-06-05 02:37:15,"AI overview,Thumbnail,Featured snippet,People also ask,Sitelinks",2200,3900,5200,2015-09-12,"Informational,Non-branded,Non-local"
181,ai math help,us,42,2000,0.50,,math solver,2025-06-02 23:35:55,"Sitelinks,People also ask",2400,668000,1200000,2023-01-15,"Informational,Non-branded,Non-local"
182,camp games,us,0,2000,0.15,1,summer camp games,2025-06-05 00:17:12,"AI overview,Thumbnail,Sitelinks,Top stories,Video preview",3400,1100,1100,2015-09-02,"Informational,Non-branded,Non-local"
183,best ipad for kids,us,0,2000,,0.97,best ipad for kids,2025-06-02 23:56:47,"Thumbnail,Sitelinks,People also ask,Top stories",3500,1100,1700,2015-09-05,"Informational,Commercial,Transactional,Branded,Non-local"
184,math app,us,91,2000,1.00,0.41,photo math,2025-06-06 02:32:11,"Top ads,Sitelinks,Knowledge panel,People also ask,Top stories,Thumbnail",5000,12000,18000,2015-09-04,"Informational,Commercial,Non-branded,Non-local"
185,math tools,us,79,2000,0.50,0.49,math manipulatives,2025-06-05 05:17:27,"People also ask,Sitelinks,Top stories,Thumbnail",3000,3100,4000,2015-09-03,"Informational,Non-branded,Non-local"
186,math tutor jobs,us,1,1900,0.60,0.83,math tutor jobs,2025-06-01 23:45:26,People also ask,2800,1900,1900,2015-09-03,"Informational,Non-branded,Non-local"
187,7am to 4pm is how many hours,us,17,1900,0.08,,7am to 4pm is how many hours,2025-05-30 11:14:51,"People also ask,Sitelinks",2800,1900,2100,2015-10-21,"Informational,Non-branded,Non-local"
188,best online homeschool programs,us,55,1900,3.50,0.95,accredited homeschool programs,2025-05-31 05:08:22,"AI overview,Thumbnail,Sitelinks,People also ask,Discussions,Top stories",2200,13000,13000,2015-10-23,"Informational,Commercial,Non-branded,Non-local"
189,math flashcards,us,23,1900,0.90,1.01,math flashcards,2025-06-05 00:51:54,"Top stories,Video preview,Thumbnail,Sitelinks",2400,14000,15000,2015-09-03,"Informational,Non-branded,Non-local"
190,do the math,us,7,1900,1.80,0.7,do the math,2025-06-05 03:24:30,"Top ads,Sitelinks,People also ask,Bottom ads,Paid sitelinks",2400,800,800,2015-09-01,"Informational,Non-branded,Non-local"
191,flashcards online,us,84,1900,0.15,1.13,flashcards,2025-06-06 02:45:49,Sitelinks,11000,66000,99000,2015-09-01,"Informational,Non-branded,Non-local"
192,group of kids,us,1,1800,,0.36,group of kids,2025-05-31 07:55:34,"AI overview,Thumbnail,People also ask,Sitelinks",2400,150,200,2015-09-02,"Informational,Non-branded,Non-local"
193,how long until 7am,us,18,1800,,,how many hours until 7am today,2025-05-30 08:36:10,,2900,6100,7300,2016-01-19,"Informational,Non-branded,Non-local"
194,baby ai,us,1,1800,,,ai generated baby,2025-06-04 22:44:04,"Sitelinks,Top stories,Video preview,Thumbnail",5300,90,100,2016-05-25,"Informational,Non-branded,Non-local"
195,ai education,us,67,1800,3.50,0.97,ai in education,2025-05-31 16:43:35,"AI overview,Thumbnail,Sitelinks,People also ask,Knowledge panel,Top stories,Video preview",4600,1900,4300,2015-09-10,"Informational,Non-branded,Non-local"
196,french tutor,us,25,1800,6.00,0.9,french tutor,2025-06-01 00:57:42,"Sitelinks,People also ask",4800,2500,4700,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
197,online math tutor,us,40,1800,7.00,1.15,online math tutoring,2025-05-31 03:52:11,"People also ask,Sitelinks",4100,6400,6900,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
198,math tutor online,us,64,1800,7.00,1.06,mathnasium,2025-05-30 03:10:16,"Sitelinks,People also ask,Top stories,Video preview,Thumbnail",3200,43000,47000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
199,campfire games,us,0,1800,0.10,1.01,campfire games,2025-06-01 17:36:43,"Sitelinks,People also ask,Thumbnail",3200,1400,1800,2015-09-01,"Informational,Non-branded,Non-local"
200,growth mindset for kids,us,30,1800,,0.97,growth mindset for kids,2025-06-05 20:34:55,"People also ask,Sitelinks,Top stories,Thumbnail,Video preview",2700,1600,2000,2015-09-04,"Informational,Non-branded,Non-local"
201,holiday backgrounds,us,5,1800,0.15,0.71,holiday background,2025-05-30 04:42:22,"Thumbnail,Sitelinks",2000,5800,5900,2015-09-07,"Informational,Non-branded,Non-local"
202,grade potential tutoring,us,2,1800,,0.91,grade potential,2025-06-02 03:52:07,"Sitelinks,People also ask",1800,3000,3000,2015-09-17,"Informational,Commercial,Branded,Non-local"
203,educational games for students,us,93,1800,1.10,,abcya,2025-06-03 00:45:51,"Thumbnail,People also ask,Sitelinks,Shopping",4200,2460000,2620000,2016-03-01,"Informational,Non-branded,Non-local"
204,99 math join code,us,33,1800,1.70,,99 math join,2025-05-30 23:04:21,"People also ask,Sitelinks",1800,75000,79000,2021-09-14,"Informational,Branded,Non-local"
205,homeschool math curriculum,us,59,1800,1.40,0.96,homeschool math curriculum,2025-05-31 23:15:15,"People also ask,Sitelinks,Top stories,Thumbnail",2100,1100,1100,2015-09-02,"Informational,Commercial,Non-branded,Non-local"
206,how much is spacex worth,us,55,1800,0.40,0.36,spacex tender offer,2025-06-01 18:58:17,"AI overview,Thumbnail,Featured snippet,People also ask,Sitelinks",2500,1900,2500,2015-09-10,"Informational,Branded,Non-local"
207,math space,us,0,1700,0.08,0.99,math space,2025-06-09 03:07:10,"Sitelinks,Knowledge panel",5200,28000,136000,2015-09-11,"Informational,Non-branded,Non-local"
208,kids fire tablet,us,0,1700,,0.69,amazon fire kids tablet,2025-06-05 19:22:31,"Shopping,Thumbnail,People also ask,Sitelinks,Top stories",3100,2300,2300,2015-09-21,"Informational,Commercial,Transactional,Branded,Non-local"
209,join 99 math,us,33,1700,1.50,,99 math join,2025-06-06 00:50:12,Sitelinks,2000,72000,76000,2020-01-10,"Navigational,Branded,Non-local"
210,how does spacex make money,us,5,1700,0.09,0.83,how does spacex make money,2025-06-01 14:23:10,"AI overview,Thumbnail,Sitelinks,People also ask,Top stories",2700,800,1000,2015-09-19,"Informational,Branded,Non-local"
211,how many children does musk have,us,54,1700,,,elon musk family,2025-06-05 17:21:24,"Featured snippet,People also ask,Sitelinks",2100,38000,60000,2020-05-09,"Informational,Non-branded,Non-local"
212,ad astra school,us,38,1700,,1.11,ad astra school,2025-05-30 02:09:02,"Sitelinks,People also ask,Knowledge panel",2400,1100,1200,2015-09-15,"Informational,Branded,Non-local"
213,elon musk kids ages,us,41,1700,,,elon musk children ages,2025-06-05 22:31:00,"People also ask,Sitelinks,Thumbnail",2100,42000,64000,2016-03-17,"Informational,Non-branded,Non-local"
214,amazon fire tablet kids,us,6,1700,,0.56,amazon fire kids tablet,2025-06-01 14:04:05,"Sitelinks,People also ask,Shopping,Thumbnail,Discussions,Top stories,Video preview",4900,1600,1600,2015-11-09,"Informational,Commercial,Branded,Non-local"
215,free math ai,us,39,1700,0.60,,math solver,2025-06-05 10:32:23,"Top ads,Sitelinks,Bottom ads,Paid sitelinks",2600,754000,1290000,2023-01-08,"Informational,Non-branded,Non-local"
216,elon musk daughter name,us,64,1700,0.04,,nevada alexander musk,2025-06-01 00:57:43,"AI overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",5000,303000,395000,2018-03-26,"Informational,Non-branded,Non-local"
217,into math,us,30,1700,0.20,0.88,into math,2025-06-02 19:31:27,"People also ask,Sitelinks,Knowledge panel",2000,2100,2100,2016-03-25,"Informational,Branded,Non-local"
218,ai for school,us,68,1600,,,magic school ai,2025-06-03 02:35:03,"Sitelinks,Top stories,Video preview,Thumbnail",2500,107000,150000,2020-11-18,"Informational,Non-branded,Non-local"
219,how many hours is 8am to 4pm,us,18,1600,1.20,0.5,8-4 is how many hours,2025-06-02 07:36:32,"People also ask,Sitelinks",2100,3000,3500,2015-10-13,"Informational,Non-branded,Non-local"
220,free online homeschool,us,72,1600,3.00,1.24,easy peasy homeschool,2025-06-04 21:24:36,"AI overview,Thumbnail,Sitelinks,People also ask",1800,43000,45000,2015-09-02,"Informational,Non-branded,Non-local"
221,all in one homeschool,us,70,1600,1.30,0.99,easy peasy,2025-06-01 07:08:04,"Sitelinks,Top stories,Video preview,Thumbnail,People also ask",1700,62000,64000,2015-09-01,"Informational,Non-branded,Non-local"
222,how to get superhuman,us,0,1600,0.07,,how to get superhuman,2025-06-01 21:14:07,"AI overview,Thumbnail,Featured snippet,People also ask,Discussions,Sitelinks",5600,2300,5000,2020-01-11,"Informational,Branded,Non-local"
223,flash card math,us,27,1600,0.90,1.31,flash card math,2025-06-05 23:17:28,"Sitelinks,People also ask",1900,2900,3300,2015-09-22,"Informational,Non-branded,Non-local"
224,how did elon musk get started,us,78,1600,0.02,,elon musk,2025-05-31 02:37:12,"AI overview,Thumbnail,Featured snippet,People also ask,Sitelinks,Discussions",1800,432000,676000,2017-06-06,"Informational,Non-branded,Non-local"
225,ai for math,us,12,1600,0.60,,math ai,2025-06-01 03:20:24,"Sitelinks,Top stories,Thumbnail",4600,51000,87000,2017-08-15,"Informational,Non-branded,Non-local"
226,math academy,us,36,1600,2.50,0.74,math academy,2025-06-02 00:43:57,"Sitelinks,Top stories,Thumbnail,People also ask",2300,1200,1300,2015-09-06,"Informational,Branded,Non-local"
227,math flash cards,us,22,1600,0.90,0.88,math flashcards,2025-05-31 16:07:17,"Shopping,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",2500,14000,15000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
228,free homeschool programs,us,62,1600,2.00,1.04,free homeschool curriculum,2025-06-01 21:12:49,"Sitelinks,People also ask,Top stories,Thumbnail",1900,6600,7000,2015-11-30,"Informational,Non-branded,Non-local"
229,algebra tutor,us,12,1600,8.00,0.63,algebra tutor,2025-06-05 20:10:28,"People also ask,Sitelinks,Top stories,Thumbnail,Video preview",2200,1200,1300,2015-09-02,"Informational,Commercial,Non-branded,Non-local"
230,class games,us,35,1600,0.70,0.86,classroom games,2025-05-31 22:26:30,"Thumbnail,People also ask,Sitelinks",2800,19000,31000,2015-09-05,"Informational,Non-branded,Non-local"
231,elon musk houses,us,5,1600,0.04,,where does elon musk live,2025-06-01 13:12:11,"AI overview,Thumbnail,People also ask,Top stories",2700,5900,10000,2017-04-02,"Informational,Non-branded,Non-local"
232,beyond compare download,us,6,1500,1.30,1.05,beyond compare download,2025-06-04 13:05:47,"Sitelinks,People also ask",3800,1300,4200,2015-09-04,"Transactional,Branded,Non-local"
233,amazon fire kids,us,5,1500,,0.86,amazon fire kids tablet,2025-06-06 02:52:52,"Shopping,Thumbnail,People also ask,Sitelinks,Discussions,Top stories",3400,2300,2300,2015-09-04,"Informational,Commercial,Transactional,Branded,Non-local"
234,kids camp,us,50,1500,,0.51,kids camp,2025-05-31 16:27:04,"Local teaser pack,Sitelinks,People also ask,Top stories,Thumbnail,Discussions",4400,400,800,2015-09-01,"Informational,Non-branded,Non-local"
235,help with math,us,89,1500,0.60,1.17,math solver,2025-05-31 15:04:58,"AI overview,Thumbnail,Top ads,Paid sitelinks,Sitelinks",1700,2470000,3280000,2015-09-01,"Informational,Non-branded,Non-local"
236,math solving app,us,89,1500,1.00,0.46,photomath,2025-05-31 13:00:19,"Sitelinks,People also ask",1800,12000,12000,2015-09-09,"Informational,Commercial,Non-branded,Non-local"
